Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,3147458
True Negative;4055,000000;1336,000000; 441,000000;0,3147458
False Positive; 445,000000; 164,000000;  59,000000;0,3147458
False Negative; 740,000000; 288,000000;  82,000000;0,3147458
True Positive;3760,000000;1212,000000; 418,000000;0,3147458
Condition Negative;4500,000000;1500,000000; 500,000000;0,3147458
Condition Positive;4500,000000;1500,000000; 500,000000;0,3147458
Accuracy;   0,868333;   0,849333;   0,859000;0,3147458
Balanced Accuracy;   0,868333;   0,849333;   0,859000;0,3147458
Area Under ROC Curve;   0,934015;   0,920139;   0,931588;0,3147458
Bias;  -0,967222;  -0,958667;  -0,977000;0,3147458
Classification Error;   0,131667;   0,150667;   0,141000;0,3147458
True Positive Rate;   0,835556;   0,808000;   0,836000;0,3147458
True Negative Rate;   0,901111;   0,890667;   0,882000;0,3147458
Positive Prediction Value;   0,894174;   0,880814;   0,876310;0,3147458
Negative Predictive Value;   0,845673;   0,822660;   0,843212;0,3147458
False Negative Rate;   0,164444;   0,192000;   0,164000;0,3147458
False Positive Rate;   0,098889;   0,109333;   0,118000;0,3147458
False Discovery Rate;   0,105826;   0,119186;   0,123690;0,3147458
False Omission Rate;   0,154327;   0,177340;   0,156788;0,3147458
Threat Score;   0,760364;   0,728365;   0,747764;0,3147458
F1 Score;   0,863871;   0,842837;   0,855681;0,3147458
Bookmaker Informedness;   0,736667;   0,698667;   0,718000;0,3147458
Markedness;   0,739846;   0,703474;   0,719523;0,3147458
Gini Index;   0,868030;   0,840278;   0,863176;0,3147458
Cost;1185,000000; 452,000000; 141,000000;0,3147458
