Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,3147458
True Negative;4365,000000;1445,000000; 483,000000;4055,000000;1336,000000; 441,000000;-310,000000;-109,000000;-42,000000;0,3147458
False Positive; 135,000000;  55,000000;  17,000000; 445,000000; 164,000000;  59,000000; 310,000000; 109,000000; 42,000000;0,3147458
False Negative;1396,000000; 490,000000; 144,000000; 740,000000; 288,000000;  82,000000;-656,000000;-202,000000;-62,000000;0,3147458
True Positive;3104,000000;1010,000000; 356,000000;3760,000000;1212,000000; 418,000000; 656,000000; 202,000000; 62,000000;0,3147458
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,3147458
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,3147458
Accuracy;   0,829889;   0,818333;   0,839000;   0,868333;   0,849333;   0,859000;   0,038444;   0,031000;  0,020000;0,3147458
Balanced Accuracy;   0,829889;   0,818333;   0,839000;   0,868333;   0,849333;   0,859000;   0,038444;   0,031000;  0,020000;0,3147458
Area Under ROC Curve;   0,934015;   0,920139;   0,931588;   0,934015;   0,920139;   0,931588;   0,000000;   0,000000;  0,000000;0,3147458
Bias;  -0,859889;  -0,855000;  -0,873000;  -0,967222;  -0,958667;  -0,977000;  -0,107333;  -0,103667; -0,104000;0,3147458
Classification Error;   0,170111;   0,181667;   0,161000;   0,131667;   0,150667;   0,141000;  -0,038444;  -0,031000; -0,020000;0,3147458
True Positive Rate;   0,689778;   0,673333;   0,712000;   0,835556;   0,808000;   0,836000;   0,145778;   0,134667;  0,124000;0,3147458
True Negative Rate;   0,970000;   0,963333;   0,966000;   0,901111;   0,890667;   0,882000;  -0,068889;  -0,072666; -0,084000;0,3147458
Positive Prediction Value;   0,958320;   0,948357;   0,954424;   0,894174;   0,880814;   0,876310;  -0,064146;  -0,067543; -0,078114;0,3147458
Negative Predictive Value;   0,757681;   0,746770;   0,770335;   0,845673;   0,822660;   0,843212;   0,087992;   0,075890;  0,072877;0,3147458
False Negative Rate;   0,310222;   0,326667;   0,288000;   0,164444;   0,192000;   0,164000;  -0,145778;  -0,134667; -0,124000;0,3147458
False Positive Rate;   0,030000;   0,036667;   0,034000;   0,098889;   0,109333;   0,118000;   0,068889;   0,072666;  0,084000;0,3147458
False Discovery Rate;   0,041680;   0,051643;   0,045576;   0,105826;   0,119186;   0,123690;   0,064146;   0,067543;  0,078114;0,3147458
False Omission Rate;   0,242319;   0,253230;   0,229665;   0,154327;   0,177340;   0,156788;  -0,087992;  -0,075890; -0,072877;0,3147458
Threat Score;   0,669687;   0,649518;   0,688588;   0,760364;   0,728365;   0,747764;   0,090677;   0,078847;  0,059176;0,3147458
F1 Score;   0,802171;   0,787524;   0,815578;   0,863871;   0,842837;   0,855681;   0,061700;   0,055313;  0,040103;0,3147458
Bookmaker Informedness;   0,659778;   0,636667;   0,678000;   0,736667;   0,698667;   0,718000;   0,076889;   0,062000;  0,040000;0,3147458
Markedness;   0,716001;   0,695127;   0,724759;   0,739846;   0,703474;   0,719523;   0,023845;   0,008347; -0,005236;0,3147458
Gini Index;   0,868030;   0,840278;   0,863176;   0,868030;   0,840278;   0,863176;   0,000000;   0,000000;  0,000000;0,3147458
Cost;1531,000000; 545,000000; 161,000000;1185,000000; 452,000000; 141,000000;-346,000000; -93,000000;-20,000000;0,3147458
