Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,2422346
True Negative;4362,000000;1439,000000; 482,000000;4155,000000;1363,000000; 463,000000;-207,000000; -76,000000;-19,000000;0,2422346
False Positive; 138,000000;  61,000000;  18,000000; 345,000000; 137,000000;  37,000000; 207,000000;  76,000000; 19,000000;0,2422346
False Negative; 582,000000; 239,000000;  65,000000; 247,000000; 120,000000;  28,000000;-335,000000;-119,000000;-37,000000;0,2422346
True Positive;3918,000000;1261,000000; 435,000000;4253,000000;1380,000000; 472,000000; 335,000000; 119,000000; 37,000000;0,2422346
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,2422346
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,2422346
Accuracy;   0,920000;   0,900000;   0,917000;   0,934222;   0,914333;   0,935000;   0,014222;   0,014333;  0,018000;0,2422346
Balanced Accuracy;   0,920000;   0,900000;   0,917000;   0,934222;   0,914333;   0,935000;   0,014222;   0,014333;  0,018000;0,2422346
Area Under ROC Curve;   0,984052;   0,975750;   0,982332;   0,984052;   0,975750;   0,982332;   0,000000;   0,000000;  0,000000;0,2422346
Bias;  -0,950667;  -0,940667;  -0,953000;  -1,010889;  -1,005667;  -1,009000;  -0,060222;  -0,065000; -0,056000;0,2422346
Classification Error;   0,080000;   0,100000;   0,083000;   0,065778;   0,085667;   0,065000;  -0,014222;  -0,014333; -0,018000;0,2422346
True Positive Rate;   0,870667;   0,840667;   0,870000;   0,945111;   0,920000;   0,944000;   0,074444;   0,079333;  0,074000;0,2422346
True Negative Rate;   0,969333;   0,959333;   0,964000;   0,923333;   0,908667;   0,926000;  -0,046000;  -0,050666; -0,038000;0,2422346
Positive Prediction Value;   0,965976;   0,953858;   0,960265;   0,924967;   0,909690;   0,927308;  -0,041009;  -0,044168; -0,032957;0,2422346
Negative Predictive Value;   0,882282;   0,857569;   0,881170;   0,943889;   0,919083;   0,942974;   0,061607;   0,061514;  0,061804;0,2422346
False Negative Rate;   0,129333;   0,159333;   0,130000;   0,054889;   0,080000;   0,056000;  -0,074444;  -0,079333; -0,074000;0,2422346
False Positive Rate;   0,030667;   0,040667;   0,036000;   0,076667;   0,091333;   0,074000;   0,046000;   0,050666;  0,038000;0,2422346
False Discovery Rate;   0,034024;   0,046142;   0,039735;   0,075033;   0,090310;   0,072692;   0,041009;   0,044168;  0,032957;0,2422346
False Omission Rate;   0,117718;   0,142431;   0,118830;   0,056111;   0,080917;   0,057026;  -0,061607;  -0,061514; -0,061804;0,2422346
Threat Score;   0,844761;   0,807816;   0,839768;   0,877812;   0,843005;   0,878957;   0,033051;   0,035189;  0,039189;0,2422346
F1 Score;   0,915849;   0,893692;   0,912907;   0,934931;   0,914816;   0,935580;   0,019082;   0,021124;  0,022673;0,2422346
Bookmaker Informedness;   0,840000;   0,800000;   0,834000;   0,868444;   0,828667;   0,870000;   0,028444;   0,028667;  0,036000;0,2422346
Markedness;   0,848258;   0,811426;   0,841435;   0,868857;   0,828773;   0,870282;   0,020599;   0,017347;  0,028847;0,2422346
Gini Index;   0,968103;   0,951500;   0,964664;   0,968103;   0,951500;   0,964664;   0,000000;   0,000000;  0,000000;0,2422346
Cost; 720,000000; 300,000000;  83,000000; 592,000000; 257,000000;  65,000000;-128,000000; -43,000000;-18,000000;0,2422346
