Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4365,000000;1445,000000; 483,000000;0,5
False Positive; 135,000000;  55,000000;  17,000000;0,5
False Negative;1396,000000; 490,000000; 144,000000;0,5
True Positive;3104,000000;1010,000000; 356,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,829889;   0,818333;   0,839000;0,5
Balanced Accuracy;   0,829889;   0,818333;   0,839000;0,5
Area Under ROC Curve;   0,934015;   0,920139;   0,931588;0,5
Bias;  -0,859889;  -0,855000;  -0,873000;0,5
Classification Error;   0,170111;   0,181667;   0,161000;0,5
True Positive Rate;   0,689778;   0,673333;   0,712000;0,5
True Negative Rate;   0,970000;   0,963333;   0,966000;0,5
Positive Prediction Value;   0,958320;   0,948357;   0,954424;0,5
Negative Predictive Value;   0,757681;   0,746770;   0,770335;0,5
False Negative Rate;   0,310222;   0,326667;   0,288000;0,5
False Positive Rate;   0,030000;   0,036667;   0,034000;0,5
False Discovery Rate;   0,041680;   0,051643;   0,045576;0,5
False Omission Rate;   0,242319;   0,253230;   0,229665;0,5
Threat Score;   0,669687;   0,649518;   0,688588;0,5
F1 Score;   0,802171;   0,787524;   0,815578;0,5
Bookmaker Informedness;   0,659778;   0,636667;   0,678000;0,5
Markedness;   0,716001;   0,695127;   0,724759;0,5
Gini Index;   0,868030;   0,840278;   0,863176;0,5
Cost;1531,000000; 545,000000; 161,000000;0,5
