Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4362,000000;1439,000000; 482,000000;0,5
False Positive; 138,000000;  61,000000;  18,000000;0,5
False Negative; 582,000000; 239,000000;  65,000000;0,5
True Positive;3918,000000;1261,000000; 435,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,920000;   0,900000;   0,917000;0,5
Balanced Accuracy;   0,920000;   0,900000;   0,917000;0,5
Area Under ROC Curve;   0,984052;   0,975750;   0,982332;0,5
Bias;  -0,950667;  -0,940667;  -0,953000;0,5
Classification Error;   0,080000;   0,100000;   0,083000;0,5
True Positive Rate;   0,870667;   0,840667;   0,870000;0,5
True Negative Rate;   0,969333;   0,959333;   0,964000;0,5
Positive Prediction Value;   0,965976;   0,953858;   0,960265;0,5
Negative Predictive Value;   0,882282;   0,857569;   0,881170;0,5
False Negative Rate;   0,129333;   0,159333;   0,130000;0,5
False Positive Rate;   0,030667;   0,040667;   0,036000;0,5
False Discovery Rate;   0,034024;   0,046142;   0,039735;0,5
False Omission Rate;   0,117718;   0,142431;   0,118830;0,5
Threat Score;   0,844761;   0,807816;   0,839768;0,5
F1 Score;   0,915849;   0,893692;   0,912907;0,5
Bookmaker Informedness;   0,840000;   0,800000;   0,834000;0,5
Markedness;   0,848258;   0,811426;   0,841435;0,5
Gini Index;   0,968103;   0,951500;   0,964664;0,5
Cost; 720,000000; 300,000000;  83,000000;0,5
