Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,2422346
True Negative;4155,000000;1363,000000; 463,000000;0,2422346
False Positive; 345,000000; 137,000000;  37,000000;0,2422346
False Negative; 247,000000; 120,000000;  28,000000;0,2422346
True Positive;4253,000000;1380,000000; 472,000000;0,2422346
Condition Negative;4500,000000;1500,000000; 500,000000;0,2422346
Condition Positive;4500,000000;1500,000000; 500,000000;0,2422346
Accuracy;   0,934222;   0,914333;   0,935000;0,2422346
Balanced Accuracy;   0,934222;   0,914333;   0,935000;0,2422346
Area Under ROC Curve;   0,984052;   0,975750;   0,982332;0,2422346
Bias;  -1,010889;  -1,005667;  -1,009000;0,2422346
Classification Error;   0,065778;   0,085667;   0,065000;0,2422346
True Positive Rate;   0,945111;   0,920000;   0,944000;0,2422346
True Negative Rate;   0,923333;   0,908667;   0,926000;0,2422346
Positive Prediction Value;   0,924967;   0,909690;   0,927308;0,2422346
Negative Predictive Value;   0,943889;   0,919083;   0,942974;0,2422346
False Negative Rate;   0,054889;   0,080000;   0,056000;0,2422346
False Positive Rate;   0,076667;   0,091333;   0,074000;0,2422346
False Discovery Rate;   0,075033;   0,090310;   0,072692;0,2422346
False Omission Rate;   0,056111;   0,080917;   0,057026;0,2422346
Threat Score;   0,877812;   0,843005;   0,878957;0,2422346
F1 Score;   0,934931;   0,914816;   0,935580;0,2422346
Bookmaker Informedness;   0,868444;   0,828667;   0,870000;0,2422346
Markedness;   0,868857;   0,828773;   0,870282;0,2422346
Gini Index;   0,968103;   0,951500;   0,964664;0,2422346
Cost; 592,000000; 257,000000;  65,000000;0,2422346
