Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,09261558
True Negative;4087,000000;1340,000000; 456,000000;3893,000000;1281,000000; 434,000000;-194,000000; -59,000000;-22,000000;0,09261558
False Positive; 413,000000; 160,000000;  44,000000; 607,000000; 219,000000;  66,000000; 194,000000;  59,000000; 22,000000;0,09261558
False Negative; 771,000000; 298,000000;  94,000000; 447,000000; 187,000000;  54,000000;-324,000000;-111,000000;-40,000000;0,09261558
True Positive;3729,000000;1202,000000; 406,000000;4053,000000;1313,000000; 446,000000; 324,000000; 111,000000; 40,000000;0,09261558
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,09261558
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,09261558
Accuracy;   0,868444;   0,847333;   0,862000;   0,882889;   0,864667;   0,880000;   0,014445;   0,017334;  0,018000;0,09261558
Balanced Accuracy;   0,868444;   0,847333;   0,862000;   0,882889;   0,864667;   0,880000;   0,014445;   0,017334;  0,018000;0,09261558
Area Under ROC Curve;   0,943734;   0,929752;   0,943468;   0,943734;   0,929752;   0,943468;   0,000000;   0,000000;  0,000000;0,09261558
Bias;  -0,960222;  -0,954000;  -0,950000;  -1,017778;  -1,010667;  -1,012000;  -0,057556;  -0,056667; -0,062000;0,09261558
Classification Error;   0,131556;   0,152667;   0,138000;   0,117111;   0,135333;   0,120000;  -0,014445;  -0,017334; -0,018000;0,09261558
True Positive Rate;   0,828667;   0,801333;   0,812000;   0,900667;   0,875333;   0,892000;   0,072000;   0,074000;  0,080000;0,09261558
True Negative Rate;   0,908222;   0,893333;   0,912000;   0,865111;   0,854000;   0,868000;  -0,043111;  -0,039333; -0,044000;0,09261558
Positive Prediction Value;   0,900290;   0,882526;   0,902222;   0,869742;   0,857050;   0,871094;  -0,030548;  -0,025476; -0,031128;0,09261558
Negative Predictive Value;   0,841293;   0,818071;   0,829091;   0,897005;   0,872616;   0,889344;   0,055712;   0,054545;  0,060253;0,09261558
False Negative Rate;   0,171333;   0,198667;   0,188000;   0,099333;   0,124667;   0,108000;  -0,072000;  -0,074000; -0,080000;0,09261558
False Positive Rate;   0,091778;   0,106667;   0,088000;   0,134889;   0,146000;   0,132000;   0,043111;   0,039333;  0,044000;0,09261558
False Discovery Rate;   0,099710;   0,117474;   0,097778;   0,130258;   0,142950;   0,128906;   0,030548;   0,025476;  0,031128;0,09261558
False Omission Rate;   0,158707;   0,181929;   0,170909;   0,102995;   0,127384;   0,110656;  -0,055712;  -0,054545; -0,060253;0,09261558
Threat Score;   0,759007;   0,724096;   0,746324;   0,793617;   0,763816;   0,787986;   0,034610;   0,039720;  0,041662;0,09261558
F1 Score;   0,862995;   0,839972;   0,854737;   0,884934;   0,866095;   0,881423;   0,021939;   0,026123;  0,026686;0,09261558
Bookmaker Informedness;   0,736889;   0,694667;   0,724000;   0,765778;   0,729333;   0,760000;   0,028889;   0,034666;  0,036000;0,09261558
Markedness;   0,741582;   0,700597;   0,731313;   0,766747;   0,729665;   0,760438;   0,025165;   0,029068;  0,029125;0,09261558
Gini Index;   0,887468;   0,859504;   0,886936;   0,887468;   0,859504;   0,886936;   0,000000;   0,000000;  0,000000;0,09261558
Cost;1184,000000; 458,000000; 138,000000;1054,000000; 406,000000; 120,000000;-130,000000; -52,000000;-18,000000;0,09261558
