Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,03083826
True Negative;4470,000000;1485,000000; 494,000000;4437,000000;1473,000000; 491,000000; -33,000000; -12,000000; -3,000000;0,03083826
False Positive;  30,000000;  15,000000;   6,000000;  63,000000;  27,000000;   9,000000;  33,000000;  12,000000;  3,000000;0,03083826
False Negative;1654,000000; 600,000000; 209,000000;1133,000000; 430,000000; 139,000000;-521,000000;-170,000000;-70,000000;0,03083826
True Positive;2846,000000; 900,000000; 291,000000;3367,000000;1070,000000; 361,000000; 521,000000; 170,000000; 70,000000;0,03083826
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,03083826
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,03083826
Accuracy;   0,812889;   0,795000;   0,785000;   0,867111;   0,847667;   0,852000;   0,054222;   0,052667;  0,067000;0,03083826
Balanced Accuracy;   0,812889;   0,795000;   0,785000;   0,867111;   0,847667;   0,852000;   0,054222;   0,052667;  0,067000;0,03083826
Area Under ROC Curve;   0,973275;   0,961937;   0,965240;   0,973275;   0,961937;   0,965240;   0,000000;   0,000000;  0,000000;0,03083826
Bias;  -0,819556;  -0,805000;  -0,797000;  -0,881111;  -0,865667;  -0,870000;  -0,061555;  -0,060667; -0,073000;0,03083826
Classification Error;   0,187111;   0,205000;   0,215000;   0,132889;   0,152333;   0,148000;  -0,054222;  -0,052667; -0,067000;0,03083826
True Positive Rate;   0,632444;   0,600000;   0,582000;   0,748222;   0,713333;   0,722000;   0,115778;   0,113333;  0,140000;0,03083826
True Negative Rate;   0,993333;   0,990000;   0,988000;   0,986000;   0,982000;   0,982000;  -0,007333;  -0,008000; -0,006000;0,03083826
Positive Prediction Value;   0,989569;   0,983607;   0,979798;   0,981633;   0,975387;   0,975676;  -0,007936;  -0,008220; -0,004122;0,03083826
Negative Predictive Value;   0,729915;   0,712230;   0,702703;   0,796589;   0,774041;   0,779365;   0,066674;   0,061811;  0,076662;0,03083826
False Negative Rate;   0,367556;   0,400000;   0,418000;   0,251778;   0,286667;   0,278000;  -0,115778;  -0,113333; -0,140000;0,03083826
False Positive Rate;   0,006667;   0,010000;   0,012000;   0,014000;   0,018000;   0,018000;   0,007333;   0,008000;  0,006000;0,03083826
False Discovery Rate;   0,010431;   0,016393;   0,020202;   0,018367;   0,024613;   0,024324;   0,007936;   0,008220;  0,004122;0,03083826
False Omission Rate;   0,270085;   0,287770;   0,297297;   0,203411;   0,225959;   0,220635;  -0,066674;  -0,061811; -0,076662;0,03083826
Threat Score;   0,628256;   0,594059;   0,575099;   0,737892;   0,700720;   0,709234;   0,109636;   0,106661;  0,134135;0,03083826
F1 Score;   0,771692;   0,745342;   0,730238;   0,849180;   0,824028;   0,829885;   0,077488;   0,078686;  0,099647;0,03083826
Bookmaker Informedness;   0,625778;   0,590000;   0,570000;   0,734222;   0,695333;   0,704000;   0,108444;   0,105333;  0,134000;0,03083826
Markedness;   0,719484;   0,695837;   0,682501;   0,778222;   0,749428;   0,755041;   0,058738;   0,053591;  0,072540;0,03083826
Gini Index;   0,946550;   0,923874;   0,930480;   0,946550;   0,923874;   0,930480;   0,000000;   0,000000;  0,000000;0,03083826
Cost;1684,000000; 615,000000; 215,000000;1196,000000; 457,000000; 148,000000;-488,000000;-158,000000;-67,000000;0,03083826
