Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,09261558
True Negative;3893,000000;1281,000000; 434,000000;0,09261558
False Positive; 607,000000; 219,000000;  66,000000;0,09261558
False Negative; 447,000000; 187,000000;  54,000000;0,09261558
True Positive;4053,000000;1313,000000; 446,000000;0,09261558
Condition Negative;4500,000000;1500,000000; 500,000000;0,09261558
Condition Positive;4500,000000;1500,000000; 500,000000;0,09261558
Accuracy;   0,882889;   0,864667;   0,880000;0,09261558
Balanced Accuracy;   0,882889;   0,864667;   0,880000;0,09261558
Area Under ROC Curve;   0,943734;   0,929752;   0,943468;0,09261558
Bias;  -1,017778;  -1,010667;  -1,012000;0,09261558
Classification Error;   0,117111;   0,135333;   0,120000;0,09261558
True Positive Rate;   0,900667;   0,875333;   0,892000;0,09261558
True Negative Rate;   0,865111;   0,854000;   0,868000;0,09261558
Positive Prediction Value;   0,869742;   0,857050;   0,871094;0,09261558
Negative Predictive Value;   0,897005;   0,872616;   0,889344;0,09261558
False Negative Rate;   0,099333;   0,124667;   0,108000;0,09261558
False Positive Rate;   0,134889;   0,146000;   0,132000;0,09261558
False Discovery Rate;   0,130258;   0,142950;   0,128906;0,09261558
False Omission Rate;   0,102995;   0,127384;   0,110656;0,09261558
Threat Score;   0,793617;   0,763816;   0,787986;0,09261558
F1 Score;   0,884934;   0,866095;   0,881423;0,09261558
Bookmaker Informedness;   0,765778;   0,729333;   0,760000;0,09261558
Markedness;   0,766747;   0,729665;   0,760438;0,09261558
Gini Index;   0,887468;   0,859504;   0,886936;0,09261558
Cost;1054,000000; 406,000000; 120,000000;0,09261558
