Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,03083826
True Negative;4437,000000;1473,000000; 491,000000;0,03083826
False Positive;  63,000000;  27,000000;   9,000000;0,03083826
False Negative;1133,000000; 430,000000; 139,000000;0,03083826
True Positive;3367,000000;1070,000000; 361,000000;0,03083826
Condition Negative;4500,000000;1500,000000; 500,000000;0,03083826
Condition Positive;4500,000000;1500,000000; 500,000000;0,03083826
Accuracy;   0,867111;   0,847667;   0,852000;0,03083826
Balanced Accuracy;   0,867111;   0,847667;   0,852000;0,03083826
Area Under ROC Curve;   0,973275;   0,961937;   0,965240;0,03083826
Bias;  -0,881111;  -0,865667;  -0,870000;0,03083826
Classification Error;   0,132889;   0,152333;   0,148000;0,03083826
True Positive Rate;   0,748222;   0,713333;   0,722000;0,03083826
True Negative Rate;   0,986000;   0,982000;   0,982000;0,03083826
Positive Prediction Value;   0,981633;   0,975387;   0,975676;0,03083826
Negative Predictive Value;   0,796589;   0,774041;   0,779365;0,03083826
False Negative Rate;   0,251778;   0,286667;   0,278000;0,03083826
False Positive Rate;   0,014000;   0,018000;   0,018000;0,03083826
False Discovery Rate;   0,018367;   0,024613;   0,024324;0,03083826
False Omission Rate;   0,203411;   0,225959;   0,220635;0,03083826
Threat Score;   0,737892;   0,700720;   0,709234;0,03083826
F1 Score;   0,849180;   0,824028;   0,829885;0,03083826
Bookmaker Informedness;   0,734222;   0,695333;   0,704000;0,03083826
Markedness;   0,778222;   0,749428;   0,755041;0,03083826
Gini Index;   0,946550;   0,923874;   0,930480;0,03083826
Cost;1196,000000; 457,000000; 148,000000;0,03083826
