Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;    0,000000;   0,000000;   0,000000;0,06505718
True Negative;4463,000000;1486,000000; 498,000000;3301,000000;1100,000000; 367,000000;-1162,000000;-386,000000;-131,000000;0,06505718
False Positive;  37,000000;  14,000000;   2,000000;1199,000000; 400,000000; 133,000000; 1162,000000; 386,000000; 131,000000;0,06505718
False Negative;3347,000000;1149,000000; 378,000000;1449,000000; 494,000000; 168,000000;-1898,000000;-655,000000;-210,000000;0,06505718
True Positive;1153,000000; 351,000000; 122,000000;3051,000000;1006,000000; 332,000000; 1898,000000; 655,000000; 210,000000;0,06505718
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;    0,000000;   0,000000;   0,000000;0,06505718
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;    0,000000;   0,000000;   0,000000;0,06505718
Accuracy;   0,624000;   0,612333;   0,620000;   0,705778;   0,702000;   0,699000;    0,081778;   0,089667;   0,079000;0,06505718
Balanced Accuracy;   0,624000;   0,612333;   0,620000;   0,705778;   0,702000;   0,699000;    0,081778;   0,089667;   0,079000;0,06505718
Area Under ROC Curve;   0,795447;   0,790003;   0,785196;   0,795447;   0,790003;   0,785196;    0,000000;   0,000000;   0,000000;0,06505718
Bias;  -0,632222;  -0,621667;  -0,624000;  -0,972222;  -0,968667;  -0,965000;   -0,340000;  -0,347000;  -0,341000;0,06505718
Classification Error;   0,376000;   0,387667;   0,380000;   0,294222;   0,298000;   0,301000;   -0,081778;  -0,089667;  -0,079000;0,06505718
True Positive Rate;   0,256222;   0,234000;   0,244000;   0,678000;   0,670667;   0,664000;    0,421778;   0,436667;   0,420000;0,06505718
True Negative Rate;   0,991778;   0,990667;   0,996000;   0,733556;   0,733333;   0,734000;   -0,258222;  -0,257334;  -0,262000;0,06505718
Positive Prediction Value;   0,968908;   0,961644;   0,983871;   0,717882;   0,715505;   0,713978;   -0,251026;  -0,246139;  -0,269893;0,06505718
Negative Predictive Value;   0,571447;   0,563947;   0,568493;   0,694947;   0,690088;   0,685981;    0,123500;   0,126141;   0,117488;0,06505718
False Negative Rate;   0,743778;   0,766000;   0,756000;   0,322000;   0,329333;   0,336000;   -0,421778;  -0,436667;  -0,420000;0,06505718
False Positive Rate;   0,008222;   0,009333;   0,004000;   0,266444;   0,266667;   0,266000;    0,258222;   0,257334;   0,262000;0,06505718
False Discovery Rate;   0,031092;   0,038356;   0,016129;   0,282118;   0,284495;   0,286022;    0,251026;   0,246139;   0,269893;0,06505718
False Omission Rate;   0,428553;   0,436053;   0,431507;   0,305053;   0,309912;   0,314019;   -0,123500;  -0,126141;  -0,117488;0,06505718
Threat Score;   0,254133;   0,231836;   0,243028;   0,535357;   0,529474;   0,524487;    0,281224;   0,297638;   0,281459;0,06505718
F1 Score;   0,405272;   0,376408;   0,391026;   0,697371;   0,692361;   0,688083;    0,292099;   0,315953;   0,297057;0,06505718
Bookmaker Informedness;   0,248000;   0,224667;   0,240000;   0,411556;   0,404000;   0,398000;    0,163556;   0,179333;   0,158000;0,06505718
Markedness;   0,540354;   0,525591;   0,552364;   0,412830;   0,405593;   0,399960;   -0,127524;  -0,119998;  -0,152404;0,06505718
Gini Index;   0,590893;   0,580006;   0,570392;   0,590893;   0,580006;   0,570392;    0,000000;   0,000000;   0,000000;0,06505718
Cost;3384,000000;1163,000000; 380,000000;2648,000000; 894,000000; 301,000000; -736,000000;-269,000000; -79,000000;0,06505718
