Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;3839,000000;1244,000000; 423,000000;0,5
False Positive; 661,000000; 256,000000;  77,000000;0,5
False Negative; 102,000000;  38,000000;  13,000000;0,5
True Positive;4398,000000;1462,000000; 487,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,915222;   0,902000;   0,910000;0,5
Balanced Accuracy;   0,915222;   0,902000;   0,910000;0,5
Area Under ROC Curve;   0,985054;   0,978160;   0,986716;0,5
Bias;  -1,062111;  -1,072667;  -1,064000;0,5
Classification Error;   0,084778;   0,098000;   0,090000;0,5
True Positive Rate;   0,977333;   0,974667;   0,974000;0,5
True Negative Rate;   0,853111;   0,829333;   0,846000;0,5
Positive Prediction Value;   0,869342;   0,850990;   0,863475;0,5
Negative Predictive Value;   0,974118;   0,970359;   0,970183;0,5
False Negative Rate;   0,022667;   0,025333;   0,026000;0,5
False Positive Rate;   0,146889;   0,170667;   0,154000;0,5
False Discovery Rate;   0,130658;   0,149010;   0,136525;0,5
False Omission Rate;   0,025882;   0,029641;   0,029817;0,5
Threat Score;   0,852160;   0,832574;   0,844021;0,5
F1 Score;   0,920180;   0,908639;   0,915414;0,5
Bookmaker Informedness;   0,830444;   0,804000;   0,820000;0,5
Markedness;   0,843460;   0,821348;   0,833659;0,5
Gini Index;   0,970107;   0,956320;   0,973432;0,5
Cost; 763,000000; 294,000000;  90,000000;0,5
