Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,8034171
True Negative;3839,000000;1244,000000; 423,000000;4161,000000;1352,000000; 467,000000; 322,000000; 108,000000; 44,000000;0,8034171
False Positive; 661,000000; 256,000000;  77,000000; 339,000000; 148,000000;  33,000000;-322,000000;-108,000000;-44,000000;0,8034171
False Negative; 102,000000;  38,000000;  13,000000; 247,000000; 106,000000;  24,000000; 145,000000;  68,000000; 11,000000;0,8034171
True Positive;4398,000000;1462,000000; 487,000000;4253,000000;1394,000000; 476,000000;-145,000000; -68,000000;-11,000000;0,8034171
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,8034171
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,8034171
Accuracy;   0,915222;   0,902000;   0,910000;   0,934889;   0,915333;   0,943000;   0,019667;   0,013333;  0,033000;0,8034171
Balanced Accuracy;   0,915222;   0,902000;   0,910000;   0,934889;   0,915333;   0,943000;   0,019667;   0,013333;  0,033000;0,8034171
Area Under ROC Curve;   0,985054;   0,978160;   0,986716;   0,985054;   0,978160;   0,986716;   0,000000;   0,000000;  0,000000;0,8034171
Bias;  -1,062111;  -1,072667;  -1,064000;  -1,010222;  -1,014000;  -1,009000;   0,051889;   0,058667;  0,055000;0,8034171
Classification Error;   0,084778;   0,098000;   0,090000;   0,065111;   0,084667;   0,057000;  -0,019667;  -0,013333; -0,033000;0,8034171
True Positive Rate;   0,977333;   0,974667;   0,974000;   0,945111;   0,929333;   0,952000;  -0,032222;  -0,045334; -0,022000;0,8034171
True Negative Rate;   0,853111;   0,829333;   0,846000;   0,924667;   0,901333;   0,934000;   0,071556;   0,072000;  0,088000;0,8034171
Positive Prediction Value;   0,869342;   0,850990;   0,863475;   0,926176;   0,904021;   0,935167;   0,056834;   0,053031;  0,071692;0,8034171
Negative Predictive Value;   0,974118;   0,970359;   0,970183;   0,943966;   0,927298;   0,951120;  -0,030152;  -0,043061; -0,019063;0,8034171
False Negative Rate;   0,022667;   0,025333;   0,026000;   0,054889;   0,070667;   0,048000;   0,032222;   0,045334;  0,022000;0,8034171
False Positive Rate;   0,146889;   0,170667;   0,154000;   0,075333;   0,098667;   0,066000;  -0,071556;  -0,072000; -0,088000;0,8034171
False Discovery Rate;   0,130658;   0,149010;   0,136525;   0,073824;   0,095979;   0,064833;  -0,056834;  -0,053031; -0,071692;0,8034171
False Omission Rate;   0,025882;   0,029641;   0,029817;   0,056034;   0,072702;   0,048880;   0,030152;   0,043061;  0,019063;0,8034171
Threat Score;   0,852160;   0,832574;   0,844021;   0,878901;   0,845874;   0,893058;   0,026741;   0,013300;  0,049037;0,8034171
F1 Score;   0,920180;   0,908639;   0,915414;   0,935548;   0,916502;   0,943508;   0,015368;   0,007863;  0,028094;0,8034171
Bookmaker Informedness;   0,830444;   0,804000;   0,820000;   0,869778;   0,830667;   0,886000;   0,039334;   0,026667;  0,066000;0,8034171
Markedness;   0,843460;   0,821348;   0,833659;   0,870141;   0,831318;   0,886287;   0,026681;   0,009970;  0,052628;0,8034171
Gini Index;   0,970107;   0,956320;   0,973432;   0,970107;   0,956320;   0,973432;   0,000000;   0,000000;  0,000000;0,8034171
Cost; 763,000000; 294,000000;  90,000000; 586,000000; 254,000000;  57,000000;-177,000000; -40,000000;-33,000000;0,8034171
