Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;3676,000000;1191,000000; 381,000000;0,5
False Positive; 824,000000; 309,000000; 119,000000;0,5
False Negative; 170,000000;  71,000000;  22,000000;0,5
True Positive;4330,000000;1429,000000; 478,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,889556;   0,873333;   0,859000;0,5
Balanced Accuracy;   0,889556;   0,873333;   0,859000;0,5
Area Under ROC Curve;   0,965960;   0,957790;   0,953068;0,5
Bias;  -0,072667;  -0,079333;  -0,097000;0,5
Classification Error;   0,110444;   0,126667;   0,141000;0,5
True Positive Rate;   0,962222;   0,952667;   0,956000;0,5
True Negative Rate;   0,816889;   0,794000;   0,762000;0,5
Positive Prediction Value;   0,840124;   0,822209;   0,800670;0,5
Negative Predictive Value;   0,955798;   0,943740;   0,945409;0,5
False Negative Rate;   0,037778;   0,047333;   0,044000;0,5
False Positive Rate;   0,183111;   0,206000;   0,238000;0,5
False Discovery Rate;   0,159876;   0,177791;   0,199330;0,5
False Omission Rate;   0,044202;   0,056260;   0,054591;0,5
Threat Score;   0,813298;   0,789939;   0,772213;0,5
F1 Score;   0,897037;   0,882644;   0,871468;0,5
Bookmaker Informedness;   0,779111;   0,746667;   0,718000;0,5
Markedness;   0,795922;   0,765950;   0,746079;0,5
Gini Index;   0,931920;   0,915580;   0,906136;0,5
Cost; 994,000000; 380,000000; 141,000000;0,5
