Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,8034171
True Negative;4161,000000;1352,000000; 467,000000;0,8034171
False Positive; 339,000000; 148,000000;  33,000000;0,8034171
False Negative; 247,000000; 106,000000;  24,000000;0,8034171
True Positive;4253,000000;1394,000000; 476,000000;0,8034171
Condition Negative;4500,000000;1500,000000; 500,000000;0,8034171
Condition Positive;4500,000000;1500,000000; 500,000000;0,8034171
Accuracy;   0,934889;   0,915333;   0,943000;0,8034171
Balanced Accuracy;   0,934889;   0,915333;   0,943000;0,8034171
Area Under ROC Curve;   0,985054;   0,978160;   0,986716;0,8034171
Bias;  -1,010222;  -1,014000;  -1,009000;0,8034171
Classification Error;   0,065111;   0,084667;   0,057000;0,8034171
True Positive Rate;   0,945111;   0,929333;   0,952000;0,8034171
True Negative Rate;   0,924667;   0,901333;   0,934000;0,8034171
Positive Prediction Value;   0,926176;   0,904021;   0,935167;0,8034171
Negative Predictive Value;   0,943966;   0,927298;   0,951120;0,8034171
False Negative Rate;   0,054889;   0,070667;   0,048000;0,8034171
False Positive Rate;   0,075333;   0,098667;   0,066000;0,8034171
False Discovery Rate;   0,073824;   0,095979;   0,064833;0,8034171
False Omission Rate;   0,056034;   0,072702;   0,048880;0,8034171
Threat Score;   0,878901;   0,845874;   0,893058;0,8034171
F1 Score;   0,935548;   0,916502;   0,943508;0,8034171
Bookmaker Informedness;   0,869778;   0,830667;   0,886000;0,8034171
Markedness;   0,870141;   0,831318;   0,886287;0,8034171
Gini Index;   0,970107;   0,956320;   0,973432;0,8034171
Cost; 586,000000; 254,000000;  57,000000;0,8034171
