epoch;acc;loss;lr;val_acc;val_loss
0;0.621;0.7576737466388278;0.001;0.598;0.6698100300545388
1;0.6957778;0.593915297375785;0.001;0.5463333;0.6909661876394394
2;0.75711113;0.5007563279204899;0.001;0.6713333;0.6157587436919517
3;0.79411113;0.4524508658250173;0.001;0.73833334;0.5222302072859825
4;0.8286667;0.3826436660554674;0.001;0.80466664;0.43770616105262267
5;0.8466667;0.3471785591708289;0.001;0.79966664;0.4357617326239322
6;0.8745555;0.2969685650136736;0.001;0.698;0.7313811474658073
7;0.8893333;0.26279290742344324;0.001;0.717;0.7537844808811837
8;0.90944445;0.22509898487726848;0.001;0.74266666;0.8141081130250971
9;0.92444444;0.18574817260106405;0.001;0.81866664;0.4117244266449137
