Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,4138363
True Negative;4066,000000;1233,000000; 451,000000;0,4138363
False Positive; 434,000000; 267,000000;  49,000000;0,4138363
False Negative; 382,000000; 266,000000;  49,000000;0,4138363
True Positive;4118,000000;1234,000000; 451,000000;0,4138363
Condition Negative;4500,000000;1500,000000; 500,000000;0,4138363
Condition Positive;4500,000000;1500,000000; 500,000000;0,4138363
Accuracy;   0,909333;   0,822333;   0,902000;0,4138363
Balanced Accuracy;   0,909333;   0,822333;   0,902000;0,4138363
Area Under ROC Curve;   0,971968;   0,903848;   0,967704;0,4138363
Bias;  -1,005778;  -1,000333;  -1,000000;0,4138363
Classification Error;   0,090667;   0,177667;   0,098000;0,4138363
True Positive Rate;   0,915111;   0,822667;   0,902000;0,4138363
True Negative Rate;   0,903556;   0,822000;   0,902000;0,4138363
Positive Prediction Value;   0,904657;   0,822119;   0,902000;0,4138363
Negative Predictive Value;   0,914119;   0,822548;   0,902000;0,4138363
False Negative Rate;   0,084889;   0,177333;   0,098000;0,4138363
False Positive Rate;   0,096444;   0,178000;   0,098000;0,4138363
False Discovery Rate;   0,095343;   0,177881;   0,098000;0,4138363
False Omission Rate;   0,085881;   0,177452;   0,098000;0,4138363
Threat Score;   0,834617;   0,698359;   0,821494;0,4138363
F1 Score;   0,909854;   0,822393;   0,902000;0,4138363
Bookmaker Informedness;   0,818667;   0,644667;   0,804000;0,4138363
Markedness;   0,818776;   0,644667;   0,804000;0,4138363
Gini Index;   0,943936;   0,807695;   0,935408;0,4138363
Cost; 816,000000; 533,000000;  98,000000;0,4138363
