Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;  0,000000;  0,000000;0,4138363
True Negative;4177,000000;1277,000000; 462,000000;4066,000000;1233,000000; 451,000000;-111,000000;-44,000000;-11,000000;0,4138363
False Positive; 323,000000; 223,000000;  38,000000; 434,000000; 267,000000;  49,000000; 111,000000; 44,000000; 11,000000;0,4138363
False Negative; 488,000000; 321,000000;  61,000000; 382,000000; 266,000000;  49,000000;-106,000000;-55,000000;-12,000000;0,4138363
True Positive;4012,000000;1179,000000; 439,000000;4118,000000;1234,000000; 451,000000; 106,000000; 55,000000; 12,000000;0,4138363
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,4138363
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,4138363
Accuracy;   0,909889;   0,818667;   0,901000;   0,909333;   0,822333;   0,902000;  -0,000556;  0,003666;  0,001000;0,4138363
Balanced Accuracy;   0,909889;   0,818667;   0,901000;   0,909333;   0,822333;   0,902000;  -0,000556;  0,003666;  0,001000;0,4138363
Area Under ROC Curve;   0,971968;   0,903848;   0,967704;   0,971968;   0,903848;   0,967704;   0,000000;  0,000000;  0,000000;0,4138363
Bias;  -0,981667;  -0,967333;  -0,977000;  -1,005778;  -1,000333;  -1,000000;  -0,024111; -0,033000; -0,023000;0,4138363
Classification Error;   0,090111;   0,181333;   0,099000;   0,090667;   0,177667;   0,098000;   0,000556; -0,003666; -0,001000;0,4138363
True Positive Rate;   0,891556;   0,786000;   0,878000;   0,915111;   0,822667;   0,902000;   0,023555;  0,036667;  0,024000;0,4138363
True Negative Rate;   0,928222;   0,851333;   0,924000;   0,903556;   0,822000;   0,902000;  -0,024666; -0,029333; -0,022000;0,4138363
Positive Prediction Value;   0,925490;   0,840942;   0,920335;   0,904657;   0,822119;   0,902000;  -0,020833; -0,018823; -0,018335;0,4138363
Negative Predictive Value;   0,895391;   0,799124;   0,883365;   0,914119;   0,822548;   0,902000;   0,018728;  0,023424;  0,018635;0,4138363
False Negative Rate;   0,108444;   0,214000;   0,122000;   0,084889;   0,177333;   0,098000;  -0,023555; -0,036667; -0,024000;0,4138363
False Positive Rate;   0,071778;   0,148667;   0,076000;   0,096444;   0,178000;   0,098000;   0,024666;  0,029333;  0,022000;0,4138363
False Discovery Rate;   0,074510;   0,159058;   0,079665;   0,095343;   0,177881;   0,098000;   0,020833;  0,018823;  0,018335;0,4138363
False Omission Rate;   0,104609;   0,200876;   0,116635;   0,085881;   0,177452;   0,098000;  -0,018728; -0,023424; -0,018635;0,4138363
Threat Score;   0,831847;   0,684272;   0,815985;   0,834617;   0,698359;   0,821494;   0,002770;  0,014087;  0,005509;0,4138363
F1 Score;   0,908206;   0,812543;   0,898669;   0,909854;   0,822393;   0,902000;   0,001648;  0,009850;  0,003331;0,4138363
Bookmaker Informedness;   0,819778;   0,637333;   0,802000;   0,818667;   0,644667;   0,804000;  -0,001111;  0,007334;  0,002000;0,4138363
Markedness;   0,820881;   0,640065;   0,803701;   0,818776;   0,644667;   0,804000;  -0,002105;  0,004602;  0,000299;0,4138363
Gini Index;   0,943936;   0,807695;   0,935408;   0,943936;   0,807695;   0,935408;   0,000000;  0,000000;  0,000000;0,4138363
Cost; 811,000000; 544,000000;  99,000000; 816,000000; 533,000000;  98,000000;   5,000000;-11,000000; -1,000000;0,4138363
