Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;  0,000000;  0,000000;0,3313382
True Negative;4254,000000;1406,000000; 476,000000;4142,000000;1355,000000; 461,000000;-112,000000;-51,000000;-15,000000;0,3313382
False Positive; 246,000000;  94,000000;  24,000000; 358,000000; 145,000000;  39,000000; 112,000000; 51,000000; 15,000000;0,3313382
False Negative; 429,000000; 161,000000;  50,000000; 253,000000;  99,000000;  30,000000;-176,000000;-62,000000;-20,000000;0,3313382
True Positive;4071,000000;1339,000000; 450,000000;4247,000000;1401,000000; 470,000000; 176,000000; 62,000000; 20,000000;0,3313382
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,3313382
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,3313382
Accuracy;   0,925000;   0,915000;   0,926000;   0,932111;   0,918667;   0,931000;   0,007111;  0,003667;  0,005000;0,3313382
Balanced Accuracy;   0,925000;   0,915000;   0,926000;   0,932111;   0,918667;   0,931000;   0,007111;  0,003667;  0,005000;0,3313382
Area Under ROC Curve;   0,983567;   0,974432;   0,984384;   0,983567;   0,974432;   0,984384;   0,000000;  0,000000;  0,000000;0,3313382
Bias;  -0,979667;  -0,977667;  -0,974000;  -1,011667;  -1,015333;  -1,009000;  -0,032000; -0,037666; -0,035000;0,3313382
Classification Error;   0,075000;   0,085000;   0,074000;   0,067889;   0,081333;   0,069000;  -0,007111; -0,003667; -0,005000;0,3313382
True Positive Rate;   0,904667;   0,892667;   0,900000;   0,943778;   0,934000;   0,940000;   0,039111;  0,041333;  0,040000;0,3313382
True Negative Rate;   0,945333;   0,937333;   0,952000;   0,920444;   0,903333;   0,922000;  -0,024889; -0,034000; -0,030000;0,3313382
Positive Prediction Value;   0,943016;   0,934403;   0,949367;   0,922258;   0,906210;   0,923379;  -0,020758; -0,028193; -0,025988;0,3313382
Negative Predictive Value;   0,908392;   0,897256;   0,904943;   0,942435;   0,931912;   0,938900;   0,034043;  0,034656;  0,033957;0,3313382
False Negative Rate;   0,095333;   0,107333;   0,100000;   0,056222;   0,066000;   0,060000;  -0,039111; -0,041333; -0,040000;0,3313382
False Positive Rate;   0,054667;   0,062667;   0,048000;   0,079556;   0,096667;   0,078000;   0,024889;  0,034000;  0,030000;0,3313382
False Discovery Rate;   0,056984;   0,065597;   0,050633;   0,077742;   0,093790;   0,076621;   0,020758;  0,028193;  0,025988;0,3313382
False Omission Rate;   0,091608;   0,102744;   0,095057;   0,057565;   0,068088;   0,061100;  -0,034043; -0,034656; -0,033957;0,3313382
Threat Score;   0,857775;   0,840025;   0,858779;   0,874228;   0,851672;   0,871985;   0,016453;  0,011647;  0,013206;0,3313382
F1 Score;   0,923443;   0,913058;   0,924025;   0,932894;   0,919895;   0,931615;   0,009451;  0,006837;  0,007590;0,3313382
Bookmaker Informedness;   0,850000;   0,830000;   0,852000;   0,864222;   0,837333;   0,862000;   0,014222;  0,007333;  0,010000;0,3313382
Markedness;   0,851408;   0,831659;   0,854310;   0,864693;   0,838122;   0,862279;   0,013285;  0,006463;  0,007969;0,3313382
Gini Index;   0,967134;   0,948865;   0,968768;   0,967134;   0,948865;   0,968768;   0,000000;  0,000000;  0,000000;0,3313382
Cost; 675,000000; 255,000000;  74,000000; 611,000000; 244,000000;  69,000000; -64,000000;-11,000000; -5,000000;0,3313382
