Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;2820,000000; 937,000000; 296,000000;0,5
False Positive;1680,000000; 563,000000; 204,000000;0,5
False Negative;  51,000000;  22,000000;   5,000000;0,5
True Positive;4449,000000;1478,000000; 495,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,807667;   0,805000;   0,791000;0,5
Balanced Accuracy;   0,807667;   0,805000;   0,791000;0,5
Area Under ROC Curve;   0,950725;   0,945801;   0,953058;0,5
Bias;  -1,181000;  -1,180333;  -1,199000;0,5
Classification Error;   0,192333;   0,195000;   0,209000;0,5
True Positive Rate;   0,988667;   0,985333;   0,990000;0,5
True Negative Rate;   0,626667;   0,624667;   0,592000;0,5
Positive Prediction Value;   0,725893;   0,724155;   0,708155;0,5
Negative Predictive Value;   0,982236;   0,977059;   0,983389;0,5
False Negative Rate;   0,011333;   0,014667;   0,010000;0,5
False Positive Rate;   0,373333;   0,375333;   0,408000;0,5
False Discovery Rate;   0,274107;   0,275845;   0,291845;0,5
False Omission Rate;   0,017764;   0,022941;   0,016611;0,5
Threat Score;   0,719903;   0,716432;   0,703125;0,5
F1 Score;   0,837144;   0,834792;   0,825688;0,5
Bookmaker Informedness;   0,615333;   0,610000;   0,582000;0,5
Markedness;   0,708129;   0,701214;   0,691543;0,5
Gini Index;   0,901450;   0,891602;   0,906116;0,5
Cost;1731,000000; 585,000000; 209,000000;0,5
