Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,9608811
True Negative;2820,000000; 937,000000; 296,000000;3513,000000;1138,000000; 380,000000; 693,000000; 201,000000; 84,000000;0,9608811
False Positive;1680,000000; 563,000000; 204,000000; 987,000000; 362,000000; 120,000000;-693,000000;-201,000000;-84,000000;0,9608811
False Negative;  51,000000;  22,000000;   5,000000; 232,000000;  86,000000;  21,000000; 181,000000;  64,000000; 16,000000;0,9608811
True Positive;4449,000000;1478,000000; 495,000000;4268,000000;1414,000000; 479,000000;-181,000000; -64,000000;-16,000000;0,9608811
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,9608811
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,9608811
Accuracy;   0,807667;   0,805000;   0,791000;   0,864556;   0,850667;   0,859000;   0,056889;   0,045667;  0,068000;0,9608811
Balanced Accuracy;   0,807667;   0,805000;   0,791000;   0,864556;   0,850667;   0,859000;   0,056889;   0,045667;  0,068000;0,9608811
Area Under ROC Curve;   0,950725;   0,945801;   0,953058;   0,950725;   0,945801;   0,953058;   0,000000;   0,000000;  0,000000;0,9608811
Bias;  -1,181000;  -1,180333;  -1,199000;  -1,083889;  -1,092000;  -1,099000;   0,097111;   0,088333;  0,100000;0,9608811
Classification Error;   0,192333;   0,195000;   0,209000;   0,135444;   0,149333;   0,141000;  -0,056889;  -0,045667; -0,068000;0,9608811
True Positive Rate;   0,988667;   0,985333;   0,990000;   0,948444;   0,942667;   0,958000;  -0,040223;  -0,042666; -0,032000;0,9608811
True Negative Rate;   0,626667;   0,624667;   0,592000;   0,780667;   0,758667;   0,760000;   0,154000;   0,134000;  0,168000;0,9608811
Positive Prediction Value;   0,725893;   0,724155;   0,708155;   0,812179;   0,796171;   0,799666;   0,086286;   0,072016;  0,091511;0,9608811
Negative Predictive Value;   0,982236;   0,977059;   0,983389;   0,938051;   0,929739;   0,947631;  -0,044185;  -0,047320; -0,035758;0,9608811
False Negative Rate;   0,011333;   0,014667;   0,010000;   0,051556;   0,057333;   0,042000;   0,040223;   0,042666;  0,032000;0,9608811
False Positive Rate;   0,373333;   0,375333;   0,408000;   0,219333;   0,241333;   0,240000;  -0,154000;  -0,134000; -0,168000;0,9608811
False Discovery Rate;   0,274107;   0,275845;   0,291845;   0,187821;   0,203829;   0,200334;  -0,086286;  -0,072016; -0,091511;0,9608811
False Omission Rate;   0,017764;   0,022941;   0,016611;   0,061949;   0,070261;   0,052369;   0,044185;   0,047320;  0,035758;0,9608811
Threat Score;   0,719903;   0,716432;   0,703125;   0,777839;   0,759398;   0,772581;   0,057936;   0,042966;  0,069456;0,9608811
F1 Score;   0,837144;   0,834792;   0,825688;   0,875038;   0,863248;   0,871702;   0,037894;   0,028456;  0,046014;0,9608811
Bookmaker Informedness;   0,615333;   0,610000;   0,582000;   0,729111;   0,701333;   0,718000;   0,113778;   0,091333;  0,136000;0,9608811
Markedness;   0,708129;   0,701214;   0,691543;   0,750230;   0,725910;   0,747297;   0,042101;   0,024696;  0,055754;0,9608811
Gini Index;   0,901450;   0,891602;   0,906116;   0,901450;   0,891602;   0,906116;   0,000000;   0,000000;  0,000000;0,9608811
Cost;1731,000000; 585,000000; 209,000000;1219,000000; 448,000000; 141,000000;-512,000000;-137,000000;-68,000000;0,9608811
