Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,3313382
True Negative;4142,000000;1355,000000; 461,000000;0,3313382
False Positive; 358,000000; 145,000000;  39,000000;0,3313382
False Negative; 253,000000;  99,000000;  30,000000;0,3313382
True Positive;4247,000000;1401,000000; 470,000000;0,3313382
Condition Negative;4500,000000;1500,000000; 500,000000;0,3313382
Condition Positive;4500,000000;1500,000000; 500,000000;0,3313382
Accuracy;   0,932111;   0,918667;   0,931000;0,3313382
Balanced Accuracy;   0,932111;   0,918667;   0,931000;0,3313382
Area Under ROC Curve;   0,983567;   0,974432;   0,984384;0,3313382
Bias;  -1,011667;  -1,015333;  -1,009000;0,3313382
Classification Error;   0,067889;   0,081333;   0,069000;0,3313382
True Positive Rate;   0,943778;   0,934000;   0,940000;0,3313382
True Negative Rate;   0,920444;   0,903333;   0,922000;0,3313382
Positive Prediction Value;   0,922258;   0,906210;   0,923379;0,3313382
Negative Predictive Value;   0,942435;   0,931912;   0,938900;0,3313382
False Negative Rate;   0,056222;   0,066000;   0,060000;0,3313382
False Positive Rate;   0,079556;   0,096667;   0,078000;0,3313382
False Discovery Rate;   0,077742;   0,093790;   0,076621;0,3313382
False Omission Rate;   0,057565;   0,068088;   0,061100;0,3313382
Threat Score;   0,874228;   0,851672;   0,871985;0,3313382
F1 Score;   0,932894;   0,919895;   0,931615;0,3313382
Bookmaker Informedness;   0,864222;   0,837333;   0,862000;0,3313382
Markedness;   0,864693;   0,838122;   0,862279;0,3313382
Gini Index;   0,967134;   0,948865;   0,968768;0,3313382
Cost; 611,000000; 244,000000;  69,000000;0,3313382
