Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4254,000000;1406,000000; 476,000000;0,5
False Positive; 246,000000;  94,000000;  24,000000;0,5
False Negative; 429,000000; 161,000000;  50,000000;0,5
True Positive;4071,000000;1339,000000; 450,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,925000;   0,915000;   0,926000;0,5
Balanced Accuracy;   0,925000;   0,915000;   0,926000;0,5
Area Under ROC Curve;   0,983567;   0,974432;   0,984384;0,5
Bias;  -0,979667;  -0,977667;  -0,974000;0,5
Classification Error;   0,075000;   0,085000;   0,074000;0,5
True Positive Rate;   0,904667;   0,892667;   0,900000;0,5
True Negative Rate;   0,945333;   0,937333;   0,952000;0,5
Positive Prediction Value;   0,943016;   0,934403;   0,949367;0,5
Negative Predictive Value;   0,908392;   0,897256;   0,904943;0,5
False Negative Rate;   0,095333;   0,107333;   0,100000;0,5
False Positive Rate;   0,054667;   0,062667;   0,048000;0,5
False Discovery Rate;   0,056984;   0,065597;   0,050633;0,5
False Omission Rate;   0,091608;   0,102744;   0,095057;0,5
Threat Score;   0,857775;   0,840025;   0,858779;0,5
F1 Score;   0,923443;   0,913058;   0,924025;0,5
Bookmaker Informedness;   0,850000;   0,830000;   0,852000;0,5
Markedness;   0,851408;   0,831659;   0,854310;0,5
Gini Index;   0,967134;   0,948865;   0,968768;0,5
Cost; 675,000000; 255,000000;  74,000000;0,5
