Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,9608811
True Negative;3513,000000;1138,000000; 380,000000;0,9608811
False Positive; 987,000000; 362,000000; 120,000000;0,9608811
False Negative; 232,000000;  86,000000;  21,000000;0,9608811
True Positive;4268,000000;1414,000000; 479,000000;0,9608811
Condition Negative;4500,000000;1500,000000; 500,000000;0,9608811
Condition Positive;4500,000000;1500,000000; 500,000000;0,9608811
Accuracy;   0,864556;   0,850667;   0,859000;0,9608811
Balanced Accuracy;   0,864556;   0,850667;   0,859000;0,9608811
Area Under ROC Curve;   0,950725;   0,945801;   0,953058;0,9608811
Bias;  -1,083889;  -1,092000;  -1,099000;0,9608811
Classification Error;   0,135444;   0,149333;   0,141000;0,9608811
True Positive Rate;   0,948444;   0,942667;   0,958000;0,9608811
True Negative Rate;   0,780667;   0,758667;   0,760000;0,9608811
Positive Prediction Value;   0,812179;   0,796171;   0,799666;0,9608811
Negative Predictive Value;   0,938051;   0,929739;   0,947631;0,9608811
False Negative Rate;   0,051556;   0,057333;   0,042000;0,9608811
False Positive Rate;   0,219333;   0,241333;   0,240000;0,9608811
False Discovery Rate;   0,187821;   0,203829;   0,200334;0,9608811
False Omission Rate;   0,061949;   0,070261;   0,052369;0,9608811
Threat Score;   0,777839;   0,759398;   0,772581;0,9608811
F1 Score;   0,875038;   0,863248;   0,871702;0,9608811
Bookmaker Informedness;   0,729111;   0,701333;   0,718000;0,9608811
Markedness;   0,750230;   0,725910;   0,747297;0,9608811
Gini Index;   0,901450;   0,891602;   0,906116;0,9608811
Cost;1219,000000; 448,000000; 141,000000;0,9608811
