Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,227645
True Negative;4223,000000;1380,000000; 468,000000;0,227645
False Positive; 277,000000; 120,000000;  32,000000;0,227645
False Negative; 356,000000; 158,000000;  36,000000;0,227645
True Positive;4144,000000;1342,000000; 464,000000;0,227645
Condition Negative;4500,000000;1500,000000; 500,000000;0,227645
Condition Positive;4500,000000;1500,000000; 500,000000;0,227645
Accuracy;   0,929667;   0,907333;   0,932000;0,227645
Balanced Accuracy;   0,929667;   0,907333;   0,932000;0,227645
Area Under ROC Curve;   0,983436;   0,974756;   0,978896;0,227645
Bias;  -0,991222;  -0,987333;  -0,996000;0,227645
Classification Error;   0,070333;   0,092667;   0,068000;0,227645
True Positive Rate;   0,920889;   0,894667;   0,928000;0,227645
True Negative Rate;   0,938444;   0,920000;   0,936000;0,227645
Positive Prediction Value;   0,937344;   0,917921;   0,935484;0,227645
Negative Predictive Value;   0,922254;   0,897269;   0,928571;0,227645
False Negative Rate;   0,079111;   0,105333;   0,072000;0,227645
False Positive Rate;   0,061556;   0,080000;   0,064000;0,227645
False Discovery Rate;   0,062656;   0,082079;   0,064516;0,227645
False Omission Rate;   0,077746;   0,102731;   0,071429;0,227645
Threat Score;   0,867490;   0,828395;   0,872180;0,227645
F1 Score;   0,929044;   0,906144;   0,931727;0,227645
Bookmaker Informedness;   0,859333;   0,814667;   0,864000;0,227645
Markedness;   0,859598;   0,815190;   0,864055;0,227645
Gini Index;   0,966872;   0,949513;   0,957792;0,227645
Cost; 633,000000; 278,000000;  68,000000;0,227645
