Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,6688098
True Negative;4225,000000;1397,000000; 462,000000;0,6688098
False Positive; 275,000000; 103,000000;  38,000000;0,6688098
False Negative; 212,000000;  82,000000;  33,000000;0,6688098
True Positive;4288,000000;1418,000000; 467,000000;0,6688098
Condition Negative;4500,000000;1500,000000; 500,000000;0,6688098
Condition Positive;4500,000000;1500,000000; 500,000000;0,6688098
Accuracy;   0,945889;   0,938333;   0,929000;0,6688098
Balanced Accuracy;   0,945889;   0,938333;   0,929000;0,6688098
Area Under ROC Curve;   0,989821;   0,987068;   0,986120;0,6688098
Bias;  -1,007000;  -1,007000;  -1,005000;0,6688098
Classification Error;   0,054111;   0,061667;   0,071000;0,6688098
True Positive Rate;   0,952889;   0,945333;   0,934000;0,6688098
True Negative Rate;   0,938889;   0,931333;   0,924000;0,6688098
Positive Prediction Value;   0,939733;   0,932281;   0,924752;0,6688098
Negative Predictive Value;   0,952220;   0,944557;   0,933333;0,6688098
False Negative Rate;   0,047111;   0,054667;   0,066000;0,6688098
False Positive Rate;   0,061111;   0,068667;   0,076000;0,6688098
False Discovery Rate;   0,060267;   0,067719;   0,075248;0,6688098
False Omission Rate;   0,047780;   0,055443;   0,066667;0,6688098
Threat Score;   0,898010;   0,884591;   0,868030;0,6688098
F1 Score;   0,946265;   0,938762;   0,929353;0,6688098
Bookmaker Informedness;   0,891778;   0,876667;   0,858000;0,6688098
Markedness;   0,891953;   0,876839;   0,858086;0,6688098
Gini Index;   0,979642;   0,974136;   0,972240;0,6688098
Cost; 487,000000; 185,000000;  71,000000;0,6688098
