V1;V2;filepath;actual_class;model
9,489804e-01;5,101965e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1.jpg;0;Inception_ResNet_V2
7,972292e-01;2,027707e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat10.jpg;0;Inception_ResNet_V2
9,998218e-01;1,782348e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat100.jpg;0;Inception_ResNet_V2
4,296360e-01;5,703640e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1000.jpg;0;Inception_ResNet_V2
8,889975e-01;1,110025e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1001.jpg;0;Inception_ResNet_V2
9,992111e-01;7,888938e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1002.jpg;0;Inception_ResNet_V2
6,764699e-01;3,235302e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1003.jpg;0;Inception_ResNet_V2
9,999995e-01;4,617571e-07;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1004.jpg;0;Inception_ResNet_V2
9,997383e-01;2,616953e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1005.jpg;0;Inception_ResNet_V2
8,068733e-01;1,931268e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1006.jpg;0;Inception_ResNet_V2
1,000000e+00;2,544970e-10;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1007.jpg;0;Inception_ResNet_V2
9,289293e-01;7,107068e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1008.jpg;0;Inception_ResNet_V2
9,909601e-01;9,039964e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1009.jpg;0;Inception_ResNet_V2
9,997494e-01;2,506126e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat101.jpg;0;Inception_ResNet_V2
9,997908e-01;2,091569e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1010.jpg;0;Inception_ResNet_V2
9,999789e-01;2,107338e-05;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1011.jpg;0;Inception_ResNet_V2
6,953095e-01;3,046905e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1012.jpg;0;Inception_ResNet_V2
9,997876e-01;2,124001e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1013.jpg;0;Inception_ResNet_V2
5,675910e-01;4,324090e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1014.jpg;0;Inception_ResNet_V2
9,975470e-01;2,453004e-03;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1015.jpg;0;Inception_ResNet_V2
9,998885e-01;1,114562e-04;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1016.jpg;0;Inception_ResNet_V2
7,982282e-01;2,017718e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1017.jpg;0;Inception_ResNet_V2
6,212811e-01;3,787189e-01;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1018.jpg;0;Inception_ResNet_V2
9,611027e-01;3,889733e-02;D:\GitHub\Datasets\Cats_And_Dogs\train\cats\cat1019.jpg;0;Inception_ResNet_V2
