Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;  0,000000;  0,000000;0,6688098
True Negative;4039,000000;1337,000000; 441,000000;4225,000000;1397,000000; 462,000000; 186,000000; 60,000000; 21,000000;0,6688098
False Positive; 461,000000; 163,000000;  59,000000; 275,000000; 103,000000;  38,000000;-186,000000;-60,000000;-21,000000;0,6688098
False Negative;  96,000000;  43,000000;  16,000000; 212,000000;  82,000000;  33,000000; 116,000000; 39,000000; 17,000000;0,6688098
True Positive;4404,000000;1457,000000; 484,000000;4288,000000;1418,000000; 467,000000;-116,000000;-39,000000;-17,000000;0,6688098
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,6688098
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,6688098
Accuracy;   0,938111;   0,931333;   0,925000;   0,945889;   0,938333;   0,929000;   0,007778;  0,007000;  0,004000;0,6688098
Balanced Accuracy;   0,938111;   0,931333;   0,925000;   0,945889;   0,938333;   0,929000;   0,007778;  0,007000;  0,004000;0,6688098
Area Under ROC Curve;   0,989821;   0,987068;   0,986120;   0,989821;   0,987068;   0,986120;   0,000000;  0,000000;  0,000000;0,6688098
Bias;  -1,040556;  -1,040000;  -1,043000;  -1,007000;  -1,007000;  -1,005000;   0,033556;  0,033000;  0,038000;0,6688098
Classification Error;   0,061889;   0,068667;   0,075000;   0,054111;   0,061667;   0,071000;  -0,007778; -0,007000; -0,004000;0,6688098
True Positive Rate;   0,978667;   0,971333;   0,968000;   0,952889;   0,945333;   0,934000;  -0,025778; -0,026000; -0,034000;0,6688098
True Negative Rate;   0,897556;   0,891333;   0,882000;   0,938889;   0,931333;   0,924000;   0,041333;  0,040000;  0,042000;0,6688098
Positive Prediction Value;   0,905242;   0,899383;   0,891344;   0,939733;   0,932281;   0,924752;   0,034491;  0,032898;  0,033408;0,6688098
Negative Predictive Value;   0,976784;   0,968841;   0,964989;   0,952220;   0,944557;   0,933333;  -0,024564; -0,024284; -0,031656;0,6688098
False Negative Rate;   0,021333;   0,028667;   0,032000;   0,047111;   0,054667;   0,066000;   0,025778;  0,026000;  0,034000;0,6688098
False Positive Rate;   0,102444;   0,108667;   0,118000;   0,061111;   0,068667;   0,076000;  -0,041333; -0,040000; -0,042000;0,6688098
False Discovery Rate;   0,094758;   0,100617;   0,108656;   0,060267;   0,067719;   0,075248;  -0,034491; -0,032898; -0,033408;0,6688098
False Omission Rate;   0,023216;   0,031159;   0,035011;   0,047780;   0,055443;   0,066667;   0,024564;  0,024284;  0,031656;0,6688098
Threat Score;   0,887724;   0,876127;   0,865832;   0,898010;   0,884591;   0,868030;   0,010286;  0,008464;  0,002198;0,6688098
F1 Score;   0,940523;   0,933974;   0,928092;   0,946265;   0,938762;   0,929353;   0,005742;  0,004788;  0,001261;0,6688098
Bookmaker Informedness;   0,876222;   0,862667;   0,850000;   0,891778;   0,876667;   0,858000;   0,015556;  0,014000;  0,008000;0,6688098
Markedness;   0,882025;   0,868223;   0,856333;   0,891953;   0,876839;   0,858086;   0,009928;  0,008616;  0,001753;0,6688098
Gini Index;   0,979642;   0,974136;   0,972240;   0,979642;   0,974136;   0,972240;   0,000000;  0,000000;  0,000000;0,6688098
Cost; 557,000000; 206,000000;  75,000000; 487,000000; 185,000000;  71,000000; -70,000000;-21,000000; -4,000000;0,6688098
