Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4406,000000;1461,000000; 486,000000;0,5
False Positive;  94,000000;  39,000000;  14,000000;0,5
False Negative; 773,000000; 291,000000; 101,000000;0,5
True Positive;3727,000000;1209,000000; 399,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,903667;   0,890000;   0,885000;0,5
Balanced Accuracy;   0,903667;   0,890000;   0,885000;0,5
Area Under ROC Curve;   0,983436;   0,974756;   0,978896;0,5
Bias;  -0,924556;  -0,916000;  -0,913000;0,5
Classification Error;   0,096333;   0,110000;   0,115000;0,5
True Positive Rate;   0,828222;   0,806000;   0,798000;0,5
True Negative Rate;   0,979111;   0,974000;   0,972000;0,5
Positive Prediction Value;   0,975399;   0,968750;   0,966102;0,5
Negative Predictive Value;   0,850743;   0,833904;   0,827939;0,5
False Negative Rate;   0,171778;   0,194000;   0,202000;0,5
False Positive Rate;   0,020889;   0,026000;   0,028000;0,5
False Discovery Rate;   0,024601;   0,031250;   0,033898;0,5
False Omission Rate;   0,149257;   0,166096;   0,172061;0,5
Threat Score;   0,811276;   0,785575;   0,776265;0,5
F1 Score;   0,895806;   0,879913;   0,874042;0,5
Bookmaker Informedness;   0,807333;   0,780000;   0,770000;0,5
Markedness;   0,826142;   0,802654;   0,794040;0,5
Gini Index;   0,966872;   0,949513;   0,957792;0,5
Cost; 867,000000; 330,000000; 115,000000;0,5
