Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,227645
True Negative;4406,000000;1461,000000; 486,000000;4223,000000;1380,000000; 468,000000;-183,000000; -81,000000;-18,000000;0,227645
False Positive;  94,000000;  39,000000;  14,000000; 277,000000; 120,000000;  32,000000; 183,000000;  81,000000; 18,000000;0,227645
False Negative; 773,000000; 291,000000; 101,000000; 356,000000; 158,000000;  36,000000;-417,000000;-133,000000;-65,000000;0,227645
True Positive;3727,000000;1209,000000; 399,000000;4144,000000;1342,000000; 464,000000; 417,000000; 133,000000; 65,000000;0,227645
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,227645
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,227645
Accuracy;   0,903667;   0,890000;   0,885000;   0,929667;   0,907333;   0,932000;   0,026000;   0,017333;  0,047000;0,227645
Balanced Accuracy;   0,903667;   0,890000;   0,885000;   0,929667;   0,907333;   0,932000;   0,026000;   0,017333;  0,047000;0,227645
Area Under ROC Curve;   0,983436;   0,974756;   0,978896;   0,983436;   0,974756;   0,978896;   0,000000;   0,000000;  0,000000;0,227645
Bias;  -0,924556;  -0,916000;  -0,913000;  -0,991222;  -0,987333;  -0,996000;  -0,066666;  -0,071333; -0,083000;0,227645
Classification Error;   0,096333;   0,110000;   0,115000;   0,070333;   0,092667;   0,068000;  -0,026000;  -0,017333; -0,047000;0,227645
True Positive Rate;   0,828222;   0,806000;   0,798000;   0,920889;   0,894667;   0,928000;   0,092667;   0,088667;  0,130000;0,227645
True Negative Rate;   0,979111;   0,974000;   0,972000;   0,938444;   0,920000;   0,936000;  -0,040667;  -0,054000; -0,036000;0,227645
Positive Prediction Value;   0,975399;   0,968750;   0,966102;   0,937344;   0,917921;   0,935484;  -0,038055;  -0,050829; -0,030618;0,227645
Negative Predictive Value;   0,850743;   0,833904;   0,827939;   0,922254;   0,897269;   0,928571;   0,071511;   0,063365;  0,100632;0,227645
False Negative Rate;   0,171778;   0,194000;   0,202000;   0,079111;   0,105333;   0,072000;  -0,092667;  -0,088667; -0,130000;0,227645
False Positive Rate;   0,020889;   0,026000;   0,028000;   0,061556;   0,080000;   0,064000;   0,040667;   0,054000;  0,036000;0,227645
False Discovery Rate;   0,024601;   0,031250;   0,033898;   0,062656;   0,082079;   0,064516;   0,038055;   0,050829;  0,030618;0,227645
False Omission Rate;   0,149257;   0,166096;   0,172061;   0,077746;   0,102731;   0,071429;  -0,071511;  -0,063365; -0,100632;0,227645
Threat Score;   0,811276;   0,785575;   0,776265;   0,867490;   0,828395;   0,872180;   0,056214;   0,042820;  0,095915;0,227645
F1 Score;   0,895806;   0,879913;   0,874042;   0,929044;   0,906144;   0,931727;   0,033238;   0,026231;  0,057685;0,227645
Bookmaker Informedness;   0,807333;   0,780000;   0,770000;   0,859333;   0,814667;   0,864000;   0,052000;   0,034667;  0,094000;0,227645
Markedness;   0,826142;   0,802654;   0,794040;   0,859598;   0,815190;   0,864055;   0,033456;   0,012536;  0,070015;0,227645
Gini Index;   0,966872;   0,949513;   0,957792;   0,966872;   0,949513;   0,957792;   0,000000;   0,000000;  0,000000;0,227645
Cost; 867,000000; 330,000000; 115,000000; 633,000000; 278,000000;  68,000000;-234,000000; -52,000000;-47,000000;0,227645
