Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;3777,000000;1212,000000; 419,000000;0,5
False Positive; 723,000000; 288,000000;  81,000000;0,5
False Negative; 186,000000;  80,000000;  17,000000;0,5
True Positive;4314,000000;1420,000000; 483,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,899000;   0,877333;   0,902000;0,5
Balanced Accuracy;   0,899000;   0,877333;   0,902000;0,5
Area Under ROC Curve;   0,974024;   0,957740;   0,976206;0,5
Bias;  -1,059667;  -1,069333;  -1,064000;0,5
Classification Error;   0,101000;   0,122667;   0,098000;0,5
True Positive Rate;   0,958667;   0,946667;   0,966000;0,5
True Negative Rate;   0,839333;   0,808000;   0,838000;0,5
Positive Prediction Value;   0,856462;   0,831382;   0,856383;0,5
Negative Predictive Value;   0,953066;   0,938080;   0,961009;0,5
False Negative Rate;   0,041333;   0,053333;   0,034000;0,5
False Positive Rate;   0,160667;   0,192000;   0,162000;0,5
False Discovery Rate;   0,143538;   0,168618;   0,143617;0,5
False Omission Rate;   0,046934;   0,061920;   0,038991;0,5
Threat Score;   0,825962;   0,794183;   0,831325;0,5
F1 Score;   0,904687;   0,885287;   0,907895;0,5
Bookmaker Informedness;   0,798000;   0,754667;   0,804000;0,5
Markedness;   0,809528;   0,769462;   0,817392;0,5
Gini Index;   0,948047;   0,915479;   0,952412;0,5
Cost; 909,000000; 368,000000;  98,000000;0,5
