Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;  0,000000;  0,000000;0,6187281
True Negative;3777,000000;1212,000000; 419,000000;3967,000000;1283,000000; 441,000000; 190,000000; 71,000000; 22,000000;0,6187281
False Positive; 723,000000; 288,000000;  81,000000; 533,000000; 217,000000;  59,000000;-190,000000;-71,000000;-22,000000;0,6187281
False Negative; 186,000000;  80,000000;  17,000000; 292,000000; 134,000000;  30,000000; 106,000000; 54,000000; 13,000000;0,6187281
True Positive;4314,000000;1420,000000; 483,000000;4208,000000;1366,000000; 470,000000;-106,000000;-54,000000;-13,000000;0,6187281
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,6187281
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;  0,000000;  0,000000;0,6187281
Accuracy;   0,899000;   0,877333;   0,902000;   0,908333;   0,883000;   0,911000;   0,009333;  0,005667;  0,009000;0,6187281
Balanced Accuracy;   0,899000;   0,877333;   0,902000;   0,908333;   0,883000;   0,911000;   0,009333;  0,005667;  0,009000;0,6187281
Area Under ROC Curve;   0,974024;   0,957740;   0,976206;   0,974024;   0,957740;   0,976206;   0,000000;  0,000000;  0,000000;0,6187281
Bias;  -1,059667;  -1,069333;  -1,064000;  -1,026778;  -1,027667;  -1,029000;   0,032889;  0,041666;  0,035000;0,6187281
Classification Error;   0,101000;   0,122667;   0,098000;   0,091667;   0,117000;   0,089000;  -0,009333; -0,005667; -0,009000;0,6187281
True Positive Rate;   0,958667;   0,946667;   0,966000;   0,935111;   0,910667;   0,940000;  -0,023556; -0,036000; -0,026000;0,6187281
True Negative Rate;   0,839333;   0,808000;   0,838000;   0,881556;   0,855333;   0,882000;   0,042223;  0,047333;  0,044000;0,6187281
Positive Prediction Value;   0,856462;   0,831382;   0,856383;   0,887576;   0,862919;   0,888469;   0,031114;  0,031537;  0,032086;0,6187281
Negative Predictive Value;   0,953066;   0,938080;   0,961009;   0,931439;   0,905434;   0,936306;  -0,021627; -0,032646; -0,024703;0,6187281
False Negative Rate;   0,041333;   0,053333;   0,034000;   0,064889;   0,089333;   0,060000;   0,023556;  0,036000;  0,026000;0,6187281
False Positive Rate;   0,160667;   0,192000;   0,162000;   0,118444;   0,144667;   0,118000;  -0,042223; -0,047333; -0,044000;0,6187281
False Discovery Rate;   0,143538;   0,168618;   0,143617;   0,112424;   0,137081;   0,111531;  -0,031114; -0,031537; -0,032086;0,6187281
False Omission Rate;   0,046934;   0,061920;   0,038991;   0,068561;   0,094566;   0,063694;   0,021627;  0,032646;  0,024703;0,6187281
Threat Score;   0,825962;   0,794183;   0,831325;   0,836082;   0,795574;   0,840787;   0,010120;  0,001391;  0,009462;0,6187281
F1 Score;   0,904687;   0,885287;   0,907895;   0,910724;   0,886150;   0,913508;   0,006037;  0,000863;  0,005613;0,6187281
Bookmaker Informedness;   0,798000;   0,754667;   0,804000;   0,816667;   0,766000;   0,822000;   0,018667;  0,011333;  0,018000;0,6187281
Markedness;   0,809528;   0,769462;   0,817392;   0,819016;   0,768353;   0,824775;   0,009488; -0,001109;  0,007383;0,6187281
Gini Index;   0,948047;   0,915479;   0,952412;   0,948047;   0,915479;   0,952412;   0,000000;  0,000000;  0,000000;0,6187281
Cost; 909,000000; 368,000000;  98,000000; 825,000000; 351,000000;  89,000000; -84,000000;-17,000000; -9,000000;0,6187281
