Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;4344,000000;1432,000000; 480,000000;0,5
False Positive; 156,000000;  68,000000;  20,000000;0,5
False Negative;1441,000000; 525,000000; 162,000000;0,5
True Positive;3059,000000; 975,000000; 338,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,822556;   0,802333;   0,818000;0,5
Balanced Accuracy;   0,822556;   0,802333;   0,818000;0,5
Area Under ROC Curve;   0,949643;   0,934173;   0,942396;0,5
Bias;  -0,857222;  -0,847667;  -0,858000;0,5
Classification Error;   0,177444;   0,197667;   0,182000;0,5
True Positive Rate;   0,679778;   0,650000;   0,676000;0,5
True Negative Rate;   0,965333;   0,954667;   0,960000;0,5
Positive Prediction Value;   0,951477;   0,934803;   0,944134;0,5
Negative Predictive Value;   0,750908;   0,731732;   0,747664;0,5
False Negative Rate;   0,320222;   0,350000;   0,324000;0,5
False Positive Rate;   0,034667;   0,045333;   0,040000;0,5
False Discovery Rate;   0,048523;   0,065197;   0,055866;0,5
False Omission Rate;   0,249092;   0,268268;   0,252336;0,5
Threat Score;   0,657002;   0,621811;   0,650000;0,5
F1 Score;   0,793001;   0,766811;   0,787879;0,5
Bookmaker Informedness;   0,645111;   0,604667;   0,636000;0,5
Markedness;   0,702385;   0,666536;   0,691798;0,5
Gini Index;   0,899285;   0,868346;   0,884792;0,5
Cost;1597,000000; 593,000000; 182,000000;0,5
