Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,2078345
True Negative;3939,000000;1283,000000; 427,000000;0,2078345
False Positive; 561,000000; 217,000000;  73,000000;0,2078345
False Negative; 573,000000; 243,000000;  67,000000;0,2078345
True Positive;3927,000000;1257,000000; 433,000000;0,2078345
Condition Negative;4500,000000;1500,000000; 500,000000;0,2078345
Condition Positive;4500,000000;1500,000000; 500,000000;0,2078345
Accuracy;   0,874000;   0,846667;   0,860000;0,2078345
Balanced Accuracy;   0,874000;   0,846667;   0,860000;0,2078345
Area Under ROC Curve;   0,949643;   0,934173;   0,942396;0,2078345
Bias;  -0,998667;  -0,991333;  -1,006000;0,2078345
Classification Error;   0,126000;   0,153333;   0,140000;0,2078345
True Positive Rate;   0,872667;   0,838000;   0,866000;0,2078345
True Negative Rate;   0,875333;   0,855333;   0,854000;0,2078345
Positive Prediction Value;   0,875000;   0,852782;   0,855731;0,2078345
Negative Predictive Value;   0,873005;   0,840760;   0,864372;0,2078345
False Negative Rate;   0,127333;   0,162000;   0,134000;0,2078345
False Positive Rate;   0,124667;   0,144667;   0,146000;0,2078345
False Discovery Rate;   0,125000;   0,147218;   0,144269;0,2078345
False Omission Rate;   0,126995;   0,159240;   0,135628;0,2078345
Threat Score;   0,775934;   0,732091;   0,755672;0,2078345
F1 Score;   0,873832;   0,845326;   0,860835;0,2078345
Bookmaker Informedness;   0,748000;   0,693333;   0,720000;0,2078345
Markedness;   0,748005;   0,693542;   0,720104;0,2078345
Gini Index;   0,899285;   0,868346;   0,884792;0,2078345
Cost;1134,000000; 460,000000; 140,000000;0,2078345
