files;actual_class;predicted;cutoff;predicted_class
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1001.jpg;0;0,75439376;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1006.jpg;0;0,99528658;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1008.jpg;0;0,89562672;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1009.jpg;0;0,54560864;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat101.jpg;0;0,55685806;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1014.jpg;0;0,65987217;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1019.jpg;0;0,50037551;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1042.jpg;0;0,99992192;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1043.jpg;0;0,98992598;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1044.jpg;0;0,86785966;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1052.jpg;0;0,62935108;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1056.jpg;0;0,95150423;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1062.jpg;0;0,94130468;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1067.jpg;0;0,95200217;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1070.jpg;0;0,89226615;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1076.jpg;0;0,55684108;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1080.jpg;0;0,85926604;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1081.jpg;0;0,99759227;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1084.jpg;0;0,80113435;0,5;1
