Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,2078345
True Negative;4344,000000;1432,000000; 480,000000;3939,000000;1283,000000; 427,000000;-405,000000;-149,000000;-53,000000;0,2078345
False Positive; 156,000000;  68,000000;  20,000000; 561,000000; 217,000000;  73,000000; 405,000000; 149,000000; 53,000000;0,2078345
False Negative;1441,000000; 525,000000; 162,000000; 573,000000; 243,000000;  67,000000;-868,000000;-282,000000;-95,000000;0,2078345
True Positive;3059,000000; 975,000000; 338,000000;3927,000000;1257,000000; 433,000000; 868,000000; 282,000000; 95,000000;0,2078345
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,2078345
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,2078345
Accuracy;   0,822556;   0,802333;   0,818000;   0,874000;   0,846667;   0,860000;   0,051444;   0,044334;  0,042000;0,2078345
Balanced Accuracy;   0,822556;   0,802333;   0,818000;   0,874000;   0,846667;   0,860000;   0,051444;   0,044334;  0,042000;0,2078345
Area Under ROC Curve;   0,949643;   0,934173;   0,942396;   0,949643;   0,934173;   0,942396;   0,000000;   0,000000;  0,000000;0,2078345
Bias;  -0,857222;  -0,847667;  -0,858000;  -0,998667;  -0,991333;  -1,006000;  -0,141445;  -0,143666; -0,148000;0,2078345
Classification Error;   0,177444;   0,197667;   0,182000;   0,126000;   0,153333;   0,140000;  -0,051444;  -0,044334; -0,042000;0,2078345
True Positive Rate;   0,679778;   0,650000;   0,676000;   0,872667;   0,838000;   0,866000;   0,192889;   0,188000;  0,190000;0,2078345
True Negative Rate;   0,965333;   0,954667;   0,960000;   0,875333;   0,855333;   0,854000;  -0,090000;  -0,099334; -0,106000;0,2078345
Positive Prediction Value;   0,951477;   0,934803;   0,944134;   0,875000;   0,852782;   0,855731;  -0,076477;  -0,082021; -0,088403;0,2078345
Negative Predictive Value;   0,750908;   0,731732;   0,747664;   0,873005;   0,840760;   0,864372;   0,122097;   0,109028;  0,116708;0,2078345
False Negative Rate;   0,320222;   0,350000;   0,324000;   0,127333;   0,162000;   0,134000;  -0,192889;  -0,188000; -0,190000;0,2078345
False Positive Rate;   0,034667;   0,045333;   0,040000;   0,124667;   0,144667;   0,146000;   0,090000;   0,099334;  0,106000;0,2078345
False Discovery Rate;   0,048523;   0,065197;   0,055866;   0,125000;   0,147218;   0,144269;   0,076477;   0,082021;  0,088403;0,2078345
False Omission Rate;   0,249092;   0,268268;   0,252336;   0,126995;   0,159240;   0,135628;  -0,122097;  -0,109028; -0,116708;0,2078345
Threat Score;   0,657002;   0,621811;   0,650000;   0,775934;   0,732091;   0,755672;   0,118932;   0,110280;  0,105672;0,2078345
F1 Score;   0,793001;   0,766811;   0,787879;   0,873832;   0,845326;   0,860835;   0,080831;   0,078515;  0,072956;0,2078345
Bookmaker Informedness;   0,645111;   0,604667;   0,636000;   0,748000;   0,693333;   0,720000;   0,102889;   0,088666;  0,084000;0,2078345
Markedness;   0,702385;   0,666536;   0,691798;   0,748005;   0,693542;   0,720104;   0,045620;   0,027006;  0,028306;0,2078345
Gini Index;   0,899285;   0,868346;   0,884792;   0,899285;   0,868346;   0,884792;   0,000000;   0,000000;  0,000000;0,2078345
Cost;1597,000000; 593,000000; 182,000000;1134,000000; 460,000000; 140,000000;-463,000000;-133,000000;-42,000000;0,2078345
