Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5
True Negative;   0,000000;   0,000000;   0,000000;0,5
False Positive;4500,000000;1500,000000; 500,000000;0,5
False Negative;   0,000000;   0,000000;   0,000000;0,5
True Positive;4500,000000;1500,000000; 500,000000;0,5
Condition Negative;4500,000000;1500,000000; 500,000000;0,5
Condition Positive;4500,000000;1500,000000; 500,000000;0,5
Accuracy;   0,500000;   0,500000;   0,500000;0,5
Balanced Accuracy;   0,500000;   0,500000;   0,500000;0,5
Area Under ROC Curve;   0,500000;   0,500000;   0,500000;0,5
Bias;  -1,500000;  -1,500000;  -1,500000;0,5
Classification Error;   0,500000;   0,500000;   0,500000;0,5
True Positive Rate;   1,000000;   1,000000;   1,000000;0,5
True Negative Rate;   0,000000;   0,000000;   0,000000;0,5
Positive Prediction Value;   0,500000;   0,500000;   0,500000;0,5
Negative Predictive Value;NA;NA;NA;0,5
False Negative Rate;   0,000000;   0,000000;   0,000000;0,5
False Positive Rate;   1,000000;   1,000000;   1,000000;0,5
False Discovery Rate;   0,500000;   0,500000;   0,500000;0,5
False Omission Rate;NA;NA;NA;0,5
Threat Score;   0,500000;   0,500000;   0,500000;0,5
F1 Score;   0,666667;   0,666667;   0,666667;0,5
Bookmaker Informedness;   0,000000;   0,000000;   0,000000;0,5
Markedness;NA;NA;NA;0,5
Gini Index;   0,000000;   0,000000;   0,000000;0,5
Cost;4500,000000;1500,000000; 500,000000;0,5
