epoch;acc;loss;lr;val_acc;val_loss
0;0.633;0.7314337772263421;0.001;0.5;0.8746507788697878
1;0.71666664;0.5710043681462605;0.001;0.5003333;0.9743018845717112
2;0.76666665;0.49430888250139027;0.001;0.50766665;0.8371454079945883
3;0.8118889;0.41913691793547736;0.001;0.551;0.702344631155332
4;0.8388889;0.3637951064904531;0.001;0.542;1.1891305993000667
5;0.86;0.319088677989112;0.001;0.534;1.7361229459444683
6;0.8891111;0.25604935595724315;0.001;0.673;0.7983633031447729
7;0.9168889;0.2018111042049196;0.001;0.76766664;0.5589820966124535
8;0.93277776;0.17157391052775914;0.001;0.74866664;0.7240611799061298
9;0.94366664;0.14530076087845697;0.001;0.803;0.4827478788793087
