Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,5210136
True Negative;4148,000000;1207,000000; 463,000000;0,5210136
False Positive; 352,000000; 293,000000;  37,000000;0,5210136
False Negative; 271,000000; 264,000000;  36,000000;0,5210136
True Positive;4229,000000;1236,000000; 464,000000;0,5210136
Condition Negative;4500,000000;1500,000000; 500,000000;0,5210136
Condition Positive;4500,000000;1500,000000; 500,000000;0,5210136
Accuracy;   0,930778;   0,814333;   0,927000;0,5210136
Balanced Accuracy;   0,930778;   0,814333;   0,927000;0,5210136
Area Under ROC Curve;   0,981942;   0,897291;   0,979724;0,5210136
Bias;  -1,009000;  -1,009667;  -1,001000;0,5210136
Classification Error;   0,069222;   0,185667;   0,073000;0,5210136
True Positive Rate;   0,939778;   0,824000;   0,928000;0,5210136
True Negative Rate;   0,921778;   0,804667;   0,926000;0,5210136
Positive Prediction Value;   0,923161;   0,808371;   0,926148;0,5210136
Negative Predictive Value;   0,938674;   0,820530;   0,927856;0,5210136
False Negative Rate;   0,060222;   0,176000;   0,072000;0,5210136
False Positive Rate;   0,078222;   0,195333;   0,074000;0,5210136
False Discovery Rate;   0,076839;   0,191629;   0,073852;0,5210136
False Omission Rate;   0,061326;   0,179470;   0,072144;0,5210136
Threat Score;   0,871599;   0,689347;   0,864060;0,5210136
F1 Score;   0,931395;   0,816111;   0,927073;0,5210136
Bookmaker Informedness;   0,861556;   0,628667;   0,854000;0,5210136
Markedness;   0,861835;   0,628902;   0,854003;0,5210136
Gini Index;   0,963884;   0,794582;   0,959448;0,5210136
Cost; 623,000000; 557,000000;  73,000000;0,5210136
