Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;  0,000000;  0,000000; 0,000000;0,4406849
True Negative;4366,000000;1235,000000; 487,000000;4327,000000;1210,000000; 479,000000;-39,000000;-25,000000;-8,000000;0,4406849
False Positive; 134,000000; 265,000000;  13,000000; 173,000000; 290,000000;  21,000000; 39,000000; 25,000000; 8,000000;0,4406849
False Negative; 274,000000; 326,000000;  28,000000; 217,000000; 297,000000;  20,000000;-57,000000;-29,000000;-8,000000;0,4406849
True Positive;4226,000000;1174,000000; 472,000000;4283,000000;1203,000000; 480,000000; 57,000000; 29,000000; 8,000000;0,4406849
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;  0,000000;  0,000000; 0,000000;0,4406849
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;  0,000000;  0,000000; 0,000000;0,4406849
Accuracy;   0,954667;   0,803000;   0,959000;   0,956667;   0,804333;   0,959000;  0,002000;  0,001333; 0,000000;0,4406849
Balanced Accuracy;   0,954667;   0,803000;   0,959000;   0,956667;   0,804333;   0,959000;  0,002000;  0,001333; 0,000000;0,4406849
Area Under ROC Curve;   0,992687;   0,890803;   0,994156;   0,992687;   0,890803;   0,994156;  0,000000;  0,000000; 0,000000;0,4406849
Bias;  -0,984444;  -0,979667;  -0,985000;  -0,995111;  -0,997667;  -1,001000; -0,010667; -0,018000;-0,016000;0,4406849
Classification Error;   0,045333;   0,197000;   0,041000;   0,043333;   0,195667;   0,041000; -0,002000; -0,001333; 0,000000;0,4406849
True Positive Rate;   0,939111;   0,782667;   0,944000;   0,951778;   0,802000;   0,960000;  0,012667;  0,019333; 0,016000;0,4406849
True Negative Rate;   0,970222;   0,823333;   0,974000;   0,961556;   0,806667;   0,958000; -0,008666; -0,016666;-0,016000;0,4406849
Positive Prediction Value;   0,969266;   0,815844;   0,973196;   0,961176;   0,805760;   0,958084; -0,008090; -0,010084;-0,015112;0,4406849
Negative Predictive Value;   0,940948;   0,791160;   0,945631;   0,952245;   0,802920;   0,959920;  0,011297;  0,011760; 0,014289;0,4406849
False Negative Rate;   0,060889;   0,217333;   0,056000;   0,048222;   0,198000;   0,040000; -0,012667; -0,019333;-0,016000;0,4406849
False Positive Rate;   0,029778;   0,176667;   0,026000;   0,038444;   0,193333;   0,042000;  0,008666;  0,016666; 0,016000;0,4406849
False Discovery Rate;   0,030734;   0,184156;   0,026804;   0,038824;   0,194240;   0,041916;  0,008090;  0,010084; 0,015112;0,4406849
False Omission Rate;   0,059052;   0,208840;   0,054369;   0,047755;   0,197080;   0,040080; -0,011297; -0,011760;-0,014289;0,4406849
Threat Score;   0,911955;   0,665156;   0,920078;   0,916542;   0,672067;   0,921305;  0,004587;  0,006911; 0,001227;0,4406849
F1 Score;   0,953950;   0,798911;   0,958376;   0,956454;   0,803876;   0,959041;  0,002504;  0,004965; 0,000665;0,4406849
Bookmaker Informedness;   0,909333;   0,606000;   0,918000;   0,913333;   0,608667;   0,918000;  0,004000;  0,002667; 0,000000;0,4406849
Markedness;   0,910214;   0,607004;   0,918827;   0,913421;   0,608680;   0,918004;  0,003207;  0,001676;-0,000823;0,4406849
Gini Index;   0,985374;   0,781607;   0,988312;   0,985374;   0,781607;   0,988312;  0,000000;  0,000000; 0,000000;0,4406849
Cost; 408,000000; 591,000000;  41,000000; 390,000000; 587,000000;  41,000000;-18,000000; -4,000000; 0,000000;0,4406849
