epoch;acc;loss;lr;val_acc;val_loss
0;0.6168889;0.7741352387534247;0.001;0.5;0.7563358421127001
1;0.70666665;0.5966454407903883;0.001;0.508;0.7416852191090584
2;0.74755555;0.5254895860619015;0.001;0.54833335;0.6741753940780958
3;0.7841111;0.4632614405155182;0.001;0.51533335;0.7288884073495865
4;0.819;0.40052203199598524;0.001;0.5966667;0.6925624857346216
5;0.8464444;0.3501706930531396;0.001;0.56766665;1.018078898390134
6;0.8751111;0.2995067740811242;0.001;0.6943333;0.7134302084644636
7;0.8982222;0.24798619548479717;0.001;0.753;0.5149060065547625
8;0.916;0.20314082300662994;0.001;0.81333333;0.4364040729900201
9;0.93366665;0.1672351300186581;0.001;0.777;0.5209713391959667
