Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,4406849
True Negative;4327,000000;1210,000000; 479,000000;0,4406849
False Positive; 173,000000; 290,000000;  21,000000;0,4406849
False Negative; 217,000000; 297,000000;  20,000000;0,4406849
True Positive;4283,000000;1203,000000; 480,000000;0,4406849
Condition Negative;4500,000000;1500,000000; 500,000000;0,4406849
Condition Positive;4500,000000;1500,000000; 500,000000;0,4406849
Accuracy;   0,956667;   0,804333;   0,959000;0,4406849
Balanced Accuracy;   0,956667;   0,804333;   0,959000;0,4406849
Area Under ROC Curve;   0,992687;   0,890803;   0,994156;0,4406849
Bias;  -0,995111;  -0,997667;  -1,001000;0,4406849
Classification Error;   0,043333;   0,195667;   0,041000;0,4406849
True Positive Rate;   0,951778;   0,802000;   0,960000;0,4406849
True Negative Rate;   0,961556;   0,806667;   0,958000;0,4406849
Positive Prediction Value;   0,961176;   0,805760;   0,958084;0,4406849
Negative Predictive Value;   0,952245;   0,802920;   0,959920;0,4406849
False Negative Rate;   0,048222;   0,198000;   0,040000;0,4406849
False Positive Rate;   0,038444;   0,193333;   0,042000;0,4406849
False Discovery Rate;   0,038824;   0,194240;   0,041916;0,4406849
False Omission Rate;   0,047755;   0,197080;   0,040080;0,4406849
Threat Score;   0,916542;   0,672067;   0,921305;0,4406849
F1 Score;   0,956454;   0,803876;   0,959041;0,4406849
Bookmaker Informedness;   0,913333;   0,608667;   0,918000;0,4406849
Markedness;   0,913421;   0,608680;   0,918004;0,4406849
Gini Index;   0,985374;   0,781607;   0,988312;0,4406849
Cost; 390,000000; 587,000000;  41,000000;0,4406849
