Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,7592974
True Negative;4421,000000;1454,000000; 488,000000;0,7592974
False Positive;  79,000000;  46,000000;  12,000000;0,7592974
False Negative; 121,000000;  74,000000;  10,000000;0,7592974
True Positive;4379,000000;1426,000000; 490,000000;0,7592974
Condition Negative;4500,000000;1500,000000; 500,000000;0,7592974
Condition Positive;4500,000000;1500,000000; 500,000000;0,7592974
Accuracy;   0,977778;   0,960000;   0,978000;0,7592974
Balanced Accuracy;   0,977778;   0,960000;   0,978000;0,7592974
Area Under ROC Curve;   0,997950;   0,994998;   0,997468;0,7592974
Bias;  -0,995333;  -0,990667;  -1,002000;0,7592974
Classification Error;   0,022222;   0,040000;   0,022000;0,7592974
True Positive Rate;   0,973111;   0,950667;   0,980000;0,7592974
True Negative Rate;   0,982444;   0,969333;   0,976000;0,7592974
Positive Prediction Value;   0,982279;   0,968750;   0,976096;0,7592974
Negative Predictive Value;   0,973360;   0,951571;   0,979920;0,7592974
False Negative Rate;   0,026889;   0,049333;   0,020000;0,7592974
False Positive Rate;   0,017556;   0,030667;   0,024000;0,7592974
False Discovery Rate;   0,017721;   0,031250;   0,023904;0,7592974
False Omission Rate;   0,026640;   0,048429;   0,020080;0,7592974
Threat Score;   0,956322;   0,922380;   0,957031;0,7592974
F1 Score;   0,977674;   0,959623;   0,978044;0,7592974
Bookmaker Informedness;   0,955556;   0,920000;   0,956000;0,7592974
Markedness;   0,955639;   0,920321;   0,956015;0,7592974
Gini Index;   0,995900;   0,989996;   0,994936;0,7592974
Cost; 200,000000; 120,000000;  22,000000;0,7592974
