Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;  0,000000;  0,000000;  0,000000;0,7592974
True Negative;4325,000000;1408,000000; 476,000000;4421,000000;1454,000000; 488,000000; 96,000000; 46,000000; 12,000000;0,7592974
False Positive; 175,000000;  92,000000;  24,000000;  79,000000;  46,000000;  12,000000;-96,000000;-46,000000;-12,000000;0,7592974
False Negative;  34,000000;  36,000000;   5,000000; 121,000000;  74,000000;  10,000000; 87,000000; 38,000000;  5,000000;0,7592974
True Positive;4466,000000;1464,000000; 495,000000;4379,000000;1426,000000; 490,000000;-87,000000;-38,000000; -5,000000;0,7592974
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;  0,000000;  0,000000;  0,000000;0,7592974
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;  0,000000;  0,000000;  0,000000;0,7592974
Accuracy;   0,976778;   0,957333;   0,971000;   0,977778;   0,960000;   0,978000;  0,001000;  0,002667;  0,007000;0,7592974
Balanced Accuracy;   0,976778;   0,957333;   0,971000;   0,977778;   0,960000;   0,978000;  0,001000;  0,002667;  0,007000;0,7592974
Area Under ROC Curve;   0,997950;   0,994998;   0,997468;   0,997950;   0,994998;   0,997468;  0,000000;  0,000000;  0,000000;0,7592974
Bias;  -1,015667;  -1,018667;  -1,019000;  -0,995333;  -0,990667;  -1,002000;  0,020334;  0,028000;  0,017000;0,7592974
Classification Error;   0,023222;   0,042667;   0,029000;   0,022222;   0,040000;   0,022000; -0,001000; -0,002667; -0,007000;0,7592974
True Positive Rate;   0,992444;   0,976000;   0,990000;   0,973111;   0,950667;   0,980000; -0,019333; -0,025333; -0,010000;0,7592974
True Negative Rate;   0,961111;   0,938667;   0,952000;   0,982444;   0,969333;   0,976000;  0,021333;  0,030666;  0,024000;0,7592974
Positive Prediction Value;   0,962293;   0,940874;   0,953757;   0,982279;   0,968750;   0,976096;  0,019986;  0,027876;  0,022339;0,7592974
Negative Predictive Value;   0,992200;   0,975069;   0,989605;   0,973360;   0,951571;   0,979920; -0,018840; -0,023498; -0,009685;0,7592974
False Negative Rate;   0,007556;   0,024000;   0,010000;   0,026889;   0,049333;   0,020000;  0,019333;  0,025333;  0,010000;0,7592974
False Positive Rate;   0,038889;   0,061333;   0,048000;   0,017556;   0,030667;   0,024000; -0,021333; -0,030666; -0,024000;0,7592974
False Discovery Rate;   0,037707;   0,059126;   0,046243;   0,017721;   0,031250;   0,023904; -0,019986; -0,027876; -0,022339;0,7592974
False Omission Rate;   0,007800;   0,024931;   0,010395;   0,026640;   0,048429;   0,020080;  0,018840;  0,023498;  0,009685;0,7592974
Threat Score;   0,955294;   0,919598;   0,944656;   0,956322;   0,922380;   0,957031;  0,001028;  0,002782;  0,012375;0,7592974
F1 Score;   0,977136;   0,958115;   0,971541;   0,977674;   0,959623;   0,978044;  0,000538;  0,001508;  0,006503;0,7592974
Bookmaker Informedness;   0,953556;   0,914667;   0,942000;   0,955556;   0,920000;   0,956000;  0,002000;  0,005333;  0,014000;0,7592974
Markedness;   0,954493;   0,915943;   0,943362;   0,955639;   0,920321;   0,956015;  0,001146;  0,004378;  0,012653;0,7592974
Gini Index;   0,995900;   0,989996;   0,994936;   0,995900;   0,989996;   0,994936;  0,000000;  0,000000;  0,000000;0,7592974
Cost; 209,000000; 128,000000;  29,000000; 200,000000; 120,000000;  22,000000; -9,000000; -8,000000; -7,000000;0,7592974
