Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,8057127
True Negative;4094,000000;1321,000000; 457,000000;4370,000000;1433,000000; 484,000000; 276,000000; 112,000000; 27,000000;0,8057127
False Positive; 406,000000; 179,000000;  43,000000; 130,000000;  67,000000;  16,000000;-276,000000;-112,000000;-27,000000;0,8057127
False Negative;  18,000000;   8,000000;   4,000000; 111,000000;  60,000000;  16,000000;  93,000000;  52,000000; 12,000000;0,8057127
True Positive;4482,000000;1492,000000; 496,000000;4389,000000;1440,000000; 484,000000; -93,000000; -52,000000;-12,000000;0,8057127
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,8057127
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,8057127
Accuracy;   0,952889;   0,937667;   0,953000;   0,973222;   0,957667;   0,968000;   0,020333;   0,020000;  0,015000;0,8057127
Balanced Accuracy;   0,952889;   0,937667;   0,953000;   0,973222;   0,957667;   0,968000;   0,020333;   0,020000;  0,015000;0,8057127
Area Under ROC Curve;   0,996796;   0,994271;   0,995800;   0,996796;   0,994271;   0,995800;   0,000000;   0,000000;  0,000000;0,8057127
Bias;  -0,043111;  -0,057000;  -0,039000;  -0,002111;  -0,002333;   0,000000;   0,041000;   0,054667;  0,039000;0,8057127
Classification Error;   0,047111;   0,062333;   0,047000;   0,026778;   0,042333;   0,032000;  -0,020333;  -0,020000; -0,015000;0,8057127
True Positive Rate;   0,996000;   0,994667;   0,992000;   0,975333;   0,960000;   0,968000;  -0,020667;  -0,034667; -0,024000;0,8057127
True Negative Rate;   0,909778;   0,880667;   0,914000;   0,971111;   0,955333;   0,968000;   0,061333;   0,074666;  0,054000;0,8057127
Positive Prediction Value;   0,916939;   0,892879;   0,920223;   0,971233;   0,955541;   0,968000;   0,054294;   0,062662;  0,047777;0,8057127
Negative Predictive Value;   0,995623;   0,993980;   0,991323;   0,975229;   0,959812;   0,968000;  -0,020394;  -0,034168; -0,023323;0,8057127
False Negative Rate;   0,004000;   0,005333;   0,008000;   0,024667;   0,040000;   0,032000;   0,020667;   0,034667;  0,024000;0,8057127
False Positive Rate;   0,090222;   0,119333;   0,086000;   0,028889;   0,044667;   0,032000;  -0,061333;  -0,074666; -0,054000;0,8057127
False Discovery Rate;   0,083061;   0,107121;   0,079777;   0,028767;   0,044459;   0,032000;  -0,054294;  -0,062662; -0,047777;0,8057127
False Omission Rate;   0,004377;   0,006020;   0,008677;   0,024771;   0,040188;   0,032000;   0,020394;   0,034168;  0,023323;0,8057127
Threat Score;   0,913575;   0,888624;   0,913444;   0,947948;   0,918953;   0,937984;   0,034373;   0,030329;  0,024540;0,8057127
F1 Score;   0,954836;   0,941028;   0,954764;   0,973279;   0,957765;   0,968000;   0,018443;   0,016737;  0,013236;0,8057127
Bookmaker Informedness;   0,905778;   0,875333;   0,906000;   0,946444;   0,915333;   0,936000;   0,040666;   0,040000;  0,030000;0,8057127
Markedness;   0,912562;   0,886859;   0,911546;   0,946461;   0,915353;   0,936000;   0,033899;   0,028494;  0,024454;0,8057127
Gini Index;   0,993592;   0,988541;   0,991600;   0,993592;   0,988541;   0,991600;   0,000000;   0,000000;  0,000000;0,8057127
Cost; 424,000000; 187,000000;  47,000000; 241,000000; 127,000000;  32,000000;-183,000000; -60,000000;-15,000000;0,8057127
