Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,6343647
True Negative;4423,000000;1439,000000; 486,000000;0,6343647
False Positive;  77,000000;  61,000000;  14,000000;0,6343647
False Negative;  70,000000;  52,000000;   6,000000;0,6343647
True Positive;4430,000000;1448,000000; 494,000000;0,6343647
Condition Negative;4500,000000;1500,000000; 500,000000;0,6343647
Condition Positive;4500,000000;1500,000000; 500,000000;0,6343647
Accuracy;   0,983667;   0,962333;   0,980000;0,6343647
Balanced Accuracy;   0,983667;   0,962333;   0,980000;0,6343647
Area Under ROC Curve;   0,998628;   0,994884;   0,997692;0,6343647
Bias;  -1,000778;  -1,003000;  -1,008000;0,6343647
Classification Error;   0,016333;   0,037667;   0,020000;0,6343647
True Positive Rate;   0,984444;   0,965333;   0,988000;0,6343647
True Negative Rate;   0,982889;   0,959333;   0,972000;0,6343647
Positive Prediction Value;   0,982915;   0,959576;   0,972441;0,6343647
Negative Predictive Value;   0,984420;   0,965124;   0,987805;0,6343647
False Negative Rate;   0,015556;   0,034667;   0,012000;0,6343647
False Positive Rate;   0,017111;   0,040667;   0,028000;0,6343647
False Discovery Rate;   0,017085;   0,040424;   0,027559;0,6343647
False Omission Rate;   0,015580;   0,034876;   0,012195;0,6343647
Threat Score;   0,967883;   0,927611;   0,961089;0,6343647
F1 Score;   0,983679;   0,962446;   0,980159;0,6343647
Bookmaker Informedness;   0,967333;   0,924667;   0,960000;0,6343647
Markedness;   0,967336;   0,924700;   0,960246;0,6343647
Gini Index;   0,997256;   0,989767;   0,995384;0,6343647
Cost; 147,000000; 113,000000;  20,000000;0,6343647
