Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;  0,000000;  0,000000; 0,000000;0,6343647
True Negative;4378,000000;1421,000000; 479,000000;4423,000000;1439,000000; 486,000000; 45,000000; 18,000000; 7,000000;0,6343647
False Positive; 122,000000;  79,000000;  21,000000;  77,000000;  61,000000;  14,000000;-45,000000;-18,000000;-7,000000;0,6343647
False Negative;  38,000000;  37,000000;   6,000000;  70,000000;  52,000000;   6,000000; 32,000000; 15,000000; 0,000000;0,6343647
True Positive;4462,000000;1463,000000; 494,000000;4430,000000;1448,000000; 494,000000;-32,000000;-15,000000; 0,000000;0,6343647
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;  0,000000;  0,000000; 0,000000;0,6343647
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;  0,000000;  0,000000; 0,000000;0,6343647
Accuracy;   0,982222;   0,961333;   0,973000;   0,983667;   0,962333;   0,980000;  0,001445;  0,001000; 0,007000;0,6343647
Balanced Accuracy;   0,982222;   0,961333;   0,973000;   0,983667;   0,962333;   0,980000;  0,001445;  0,001000; 0,007000;0,6343647
Area Under ROC Curve;   0,998628;   0,994884;   0,997692;   0,998628;   0,994884;   0,997692;  0,000000;  0,000000; 0,000000;0,6343647
Bias;  -1,009333;  -1,014000;  -1,015000;  -1,000778;  -1,003000;  -1,008000;  0,008555;  0,011000; 0,007000;0,6343647
Classification Error;   0,017778;   0,038667;   0,027000;   0,016333;   0,037667;   0,020000; -0,001445; -0,001000;-0,007000;0,6343647
True Positive Rate;   0,991556;   0,975333;   0,988000;   0,984444;   0,965333;   0,988000; -0,007112; -0,010000; 0,000000;0,6343647
True Negative Rate;   0,972889;   0,947333;   0,958000;   0,982889;   0,959333;   0,972000;  0,010000;  0,012000; 0,014000;0,6343647
Positive Prediction Value;   0,973386;   0,948768;   0,959223;   0,982915;   0,959576;   0,972441;  0,009529;  0,010808; 0,013218;0,6343647
Negative Predictive Value;   0,991395;   0,974623;   0,987629;   0,984420;   0,965124;   0,987805; -0,006975; -0,009499; 0,000176;0,6343647
False Negative Rate;   0,008444;   0,024667;   0,012000;   0,015556;   0,034667;   0,012000;  0,007112;  0,010000; 0,000000;0,6343647
False Positive Rate;   0,027111;   0,052667;   0,042000;   0,017111;   0,040667;   0,028000; -0,010000; -0,012000;-0,014000;0,6343647
False Discovery Rate;   0,026614;   0,051232;   0,040777;   0,017085;   0,040424;   0,027559; -0,009529; -0,010808;-0,013218;0,6343647
False Omission Rate;   0,008605;   0,025377;   0,012371;   0,015580;   0,034876;   0,012195;  0,006975;  0,009499;-0,000176;0,6343647
Threat Score;   0,965383;   0,926536;   0,948177;   0,967883;   0,927611;   0,961089;  0,002500;  0,001075; 0,012912;0,6343647
F1 Score;   0,982387;   0,961867;   0,973399;   0,983679;   0,962446;   0,980159;  0,001292;  0,000579; 0,006760;0,6343647
Bookmaker Informedness;   0,964444;   0,922667;   0,946000;   0,967333;   0,924667;   0,960000;  0,002889;  0,002000; 0,014000;0,6343647
Markedness;   0,964781;   0,923391;   0,946852;   0,967336;   0,924700;   0,960246;  0,002555;  0,001309; 0,013394;0,6343647
Gini Index;   0,997256;   0,989767;   0,995384;   0,997256;   0,989767;   0,995384;  0,000000;  0,000000; 0,000000;0,6343647
Cost; 160,000000; 116,000000;  27,000000; 147,000000; 113,000000;  20,000000;-13,000000; -3,000000;-7,000000;0,6343647
