Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000; 0,000000;0; 0,000000;0,4966362
True Negative;3737,000000;1239,000000; 405,000000;3734,000000;1239,000000; 404,000000;-3,000000;0;-1,000000;0,4966362
False Positive; 763,000000; 261,000000;  95,000000; 766,000000; 261,000000;  96,000000; 3,000000;0; 1,000000;0,4966362
False Negative; 482,000000; 157,000000;  57,000000; 481,000000; 157,000000;  56,000000;-1,000000;0;-1,000000;0,4966362
True Positive;4018,000000;1343,000000; 443,000000;4019,000000;1343,000000; 444,000000; 1,000000;0; 1,000000;0,4966362
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000; 0,000000;0; 0,000000;0,4966362
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000; 0,000000;0; 0,000000;0,4966362
Accuracy;   0,861667;   0,860667;   0,848000;   0,861444;   0,860667;   0,848000;-0,000223;0; 0,000000;0,4966362
Balanced Accuracy;   0,861667;   0,860667;   0,848000;   0,861444;   0,860667;   0,848000;-0,000223;0; 0,000000;0,4966362
Area Under ROC Curve;   0,944850;   0,940556;   0,938220;   0,944850;   0,940556;   0,938220; 0,000000;0; 0,000000;0,4966362
Bias;  -1,031222;  -1,034667;  -1,038000;  -1,031667;  -1,034667;  -1,040000;-0,000445;0;-0,002000;0,4966362
Classification Error;   0,138333;   0,139333;   0,152000;   0,138556;   0,139333;   0,152000; 0,000223;0; 0,000000;0,4966362
True Positive Rate;   0,892889;   0,895333;   0,886000;   0,893111;   0,895333;   0,888000; 0,000222;0; 0,002000;0,4966362
True Negative Rate;   0,830444;   0,826000;   0,810000;   0,829778;   0,826000;   0,808000;-0,000666;0;-0,002000;0,4966362
Positive Prediction Value;   0,840410;   0,837282;   0,823420;   0,839916;   0,837282;   0,822222;-0,000494;0;-0,001198;0,4966362
Negative Predictive Value;   0,885755;   0,887536;   0,876623;   0,885884;   0,887536;   0,878261; 0,000129;0; 0,001638;0,4966362
False Negative Rate;   0,107111;   0,104667;   0,114000;   0,106889;   0,104667;   0,112000;-0,000222;0;-0,002000;0,4966362
False Positive Rate;   0,169556;   0,174000;   0,190000;   0,170222;   0,174000;   0,192000; 0,000666;0; 0,002000;0,4966362
False Discovery Rate;   0,159590;   0,162718;   0,176580;   0,160084;   0,162718;   0,177778; 0,000494;0; 0,001198;0,4966362
False Omission Rate;   0,114245;   0,112464;   0,123377;   0,114116;   0,112464;   0,121739;-0,000129;0;-0,001638;0,4966362
Threat Score;   0,763443;   0,762635;   0,744538;   0,763198;   0,762635;   0,744966;-0,000245;0; 0,000428;0,4966362
F1 Score;   0,865855;   0,865335;   0,853565;   0,865697;   0,865335;   0,853846;-0,000158;0; 0,000281;0,4966362
Bookmaker Informedness;   0,723333;   0,721333;   0,696000;   0,722889;   0,721333;   0,696000;-0,000444;0; 0,000000;0,4966362
Markedness;   0,726165;   0,724818;   0,700043;   0,725800;   0,724818;   0,700483;-0,000365;0; 0,000440;0,4966362
Gini Index;   0,889700;   0,881112;   0,876440;   0,889700;   0,881112;   0,876440; 0,000000;0; 0,000000;0,4966362
Cost;1245,000000; 418,000000; 152,000000;1247,000000; 418,000000; 152,000000; 2,000000;0; 0,000000;0,4966362
