Metric;Train_default;Validation_default;Test_default;Train_optimized;Validation_optimized;Test_optimized;Train_diff;Validation_diff;Test_diff;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;9000,000000;3000,000000;1000,000000;   0,000000;   0,000000;  0,000000;0,03083826
True Negative;4415,000000;1474,000000; 492,000000;4255,000000;1408,000000; 471,000000;-160,000000; -66,000000;-21,000000;0,03083826
False Positive;  85,000000;  26,000000;   8,000000; 245,000000;  92,000000;  29,000000; 160,000000;  66,000000; 21,000000;0,03083826
False Negative;1064,000000; 371,000000; 114,000000; 578,000000; 218,000000;  59,000000;-486,000000;-153,000000;-55,000000;0,03083826
True Positive;3436,000000;1129,000000; 386,000000;3922,000000;1282,000000; 441,000000; 486,000000; 153,000000; 55,000000;0,03083826
Condition Negative;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,03083826
Condition Positive;4500,000000;1500,000000; 500,000000;4500,000000;1500,000000; 500,000000;   0,000000;   0,000000;  0,000000;0,03083826
Accuracy;   0,872333;   0,867667;   0,878000;   0,908556;   0,896667;   0,912000;   0,036223;   0,029000;  0,034000;0,03083826
Balanced Accuracy;   0,872333;   0,867667;   0,878000;   0,908556;   0,896667;   0,912000;   0,036223;   0,029000;  0,034000;0,03083826
Area Under ROC Curve;   0,974293;   0,967716;   0,973096;   0,974293;   0,967716;   0,973096;   0,000000;   0,000000;  0,000000;0,03083826
Bias;  -0,891222;  -0,885000;  -0,894000;  -0,963000;  -0,958000;  -0,970000;  -0,071778;  -0,073000; -0,076000;0,03083826
Classification Error;   0,127667;   0,132333;   0,122000;   0,091444;   0,103333;   0,088000;  -0,036223;  -0,029000; -0,034000;0,03083826
True Positive Rate;   0,763556;   0,752667;   0,772000;   0,871556;   0,854667;   0,882000;   0,108000;   0,102000;  0,110000;0,03083826
True Negative Rate;   0,981111;   0,982667;   0,984000;   0,945556;   0,938667;   0,942000;  -0,035555;  -0,044000; -0,042000;0,03083826
Positive Prediction Value;   0,975859;   0,977489;   0,979695;   0,941205;   0,933042;   0,938298;  -0,034654;  -0,044447; -0,041397;0,03083826
Negative Predictive Value;   0,805804;   0,798916;   0,811881;   0,880406;   0,865929;   0,888679;   0,074602;   0,067013;  0,076798;0,03083826
False Negative Rate;   0,236444;   0,247333;   0,228000;   0,128444;   0,145333;   0,118000;  -0,108000;  -0,102000; -0,110000;0,03083826
False Positive Rate;   0,018889;   0,017333;   0,016000;   0,054444;   0,061333;   0,058000;   0,035555;   0,044000;  0,042000;0,03083826
False Discovery Rate;   0,024141;   0,022511;   0,020305;   0,058795;   0,066958;   0,061702;   0,034654;   0,044447;  0,041397;0,03083826
False Omission Rate;   0,194196;   0,201084;   0,188119;   0,119594;   0,134071;   0,111321;  -0,074602;  -0,067013; -0,076798;0,03083826
Threat Score;   0,749400;   0,739843;   0,759843;   0,826554;   0,805276;   0,833648;   0,077154;   0,065433;  0,073805;0,03083826
F1 Score;   0,856751;   0,850471;   0,863535;   0,905042;   0,892136;   0,909278;   0,048291;   0,041665;  0,045743;0,03083826
Bookmaker Informedness;   0,744667;   0,735333;   0,756000;   0,817111;   0,793333;   0,824000;   0,072444;   0,058000;  0,068000;0,03083826
Markedness;   0,781663;   0,776405;   0,791577;   0,821610;   0,798971;   0,826977;   0,039947;   0,022566;  0,035400;0,03083826
Gini Index;   0,948586;   0,935432;   0,946192;   0,948586;   0,935432;   0,946192;   0,000000;   0,000000;  0,000000;0,03083826
Cost;1149,000000; 397,000000; 122,000000; 823,000000; 310,000000;  88,000000;-326,000000; -87,000000;-34,000000;0,03083826
