Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,4966362
True Negative;3734,000000;1239,000000; 404,000000;0,4966362
False Positive; 766,000000; 261,000000;  96,000000;0,4966362
False Negative; 481,000000; 157,000000;  56,000000;0,4966362
True Positive;4019,000000;1343,000000; 444,000000;0,4966362
Condition Negative;4500,000000;1500,000000; 500,000000;0,4966362
Condition Positive;4500,000000;1500,000000; 500,000000;0,4966362
Accuracy;   0,861444;   0,860667;   0,848000;0,4966362
Balanced Accuracy;   0,861444;   0,860667;   0,848000;0,4966362
Area Under ROC Curve;   0,944850;   0,940556;   0,938220;0,4966362
Bias;  -1,031667;  -1,034667;  -1,040000;0,4966362
Classification Error;   0,138556;   0,139333;   0,152000;0,4966362
True Positive Rate;   0,893111;   0,895333;   0,888000;0,4966362
True Negative Rate;   0,829778;   0,826000;   0,808000;0,4966362
Positive Prediction Value;   0,839916;   0,837282;   0,822222;0,4966362
Negative Predictive Value;   0,885884;   0,887536;   0,878261;0,4966362
False Negative Rate;   0,106889;   0,104667;   0,112000;0,4966362
False Positive Rate;   0,170222;   0,174000;   0,192000;0,4966362
False Discovery Rate;   0,160084;   0,162718;   0,177778;0,4966362
False Omission Rate;   0,114116;   0,112464;   0,121739;0,4966362
Threat Score;   0,763198;   0,762635;   0,744966;0,4966362
F1 Score;   0,865697;   0,865335;   0,853846;0,4966362
Bookmaker Informedness;   0,722889;   0,721333;   0,696000;0,4966362
Markedness;   0,725800;   0,724818;   0,700483;0,4966362
Gini Index;   0,889700;   0,881112;   0,876440;0,4966362
Cost;1247,000000; 418,000000; 152,000000;0,4966362
