files;actual_class;prediction;cutoff;predicted_class
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1.jpg;0;0,63722515;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat10.jpg;0;0,99478757;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1001.jpg;0;0,99929321;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1002.jpg;0;0,67528969;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1003.jpg;0;0,95456558;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1006.jpg;0;0,84288126;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1010.jpg;0;0,73178285;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1012.jpg;0;0,97609884;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1014.jpg;0;0,66556394;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1016.jpg;0;0,63774419;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1017.jpg;0;0,55451053;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1018.jpg;0;0,86076999;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1020.jpg;0;0,99596405;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1024.jpg;0;0,97926956;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1026.jpg;0;0,52597427;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1028.jpg;0;0,55250448;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat103.jpg;0;0,88807392;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1036.jpg;0;0,85722661;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1037.jpg;0;0,90117401;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1038.jpg;0;0,59518927;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat104.jpg;0;0,55119848;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1042.jpg;0;0,99692094;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1052.jpg;0;0,81866282;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1056.jpg;0;0,99881423;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1057.jpg;0;0,50131905;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1060.jpg;0;0,79080468;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1061.jpg;0;0,51947713;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1063.jpg;0;0,83502090;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1065.jpg;0;0,77058244;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1067.jpg;0;0,98267341;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1069.jpg;0;0,98561108;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1071.jpg;0;0,50935256;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1072.jpg;0;0,94172716;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1073.jpg;0;0,99931848;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1075.jpg;0;0,99091280;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1076.jpg;0;0,88214564;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1077.jpg;0;0,99929106;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1079.jpg;0;0,83079958;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat108.jpg;0;0,95257229;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1080.jpg;0;0,74786413;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1082.jpg;0;0,75313717;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1083.jpg;0;0,87016916;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1091.jpg;0;0,98686218;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1094.jpg;0;0,97852886;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1096.jpg;0;0,99873918;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat11.jpg;0;0,61973906;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat110.jpg;0;0,53137952;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1100.jpg;0;0,98032975;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1101.jpg;0;0,95371008;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1103.jpg;0;0,76519299;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1104.jpg;0;0,99696952;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1105.jpg;0;0,52592164;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1108.jpg;0;0,99393660;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1112.jpg;0;0,99927706;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1113.jpg;0;0,81477177;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1114.jpg;0;0,85924751;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1115.jpg;0;0,60815722;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1116.jpg;0;0,63675618;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1118.jpg;0;0,59077603;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1120.jpg;0;0,94755417;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1121.jpg;0;0,85704255;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1127.jpg;0;0,83528471;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1129.jpg;0;0,98553967;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1130.jpg;0;0,92292100;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1132.jpg;0;0,95829654;0,5;1
D:/GitHub/Datasets/Cats_And_Dogs/train/cats/cat1133.jpg;0;0,71686256;0,5;1
