Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,360934
True Negative;4291,000000;1400,000000; 473,000000;0,360934
False Positive; 209,000000; 100,000000;  27,000000;0,360934
False Negative; 185,000000;  91,000000;  21,000000;0,360934
True Positive;4315,000000;1409,000000; 479,000000;0,360934
Condition Negative;4500,000000;1500,000000; 500,000000;0,360934
Condition Positive;4500,000000;1500,000000; 500,000000;0,360934
Accuracy;   0,956222;   0,936333;   0,952000;0,360934
Balanced Accuracy;   0,956222;   0,936333;   0,952000;0,360934
Area Under ROC Curve;   0,992803;   0,985703;   0,992272;0,360934
Bias;  -1,002667;  -1,003000;  -1,006000;0,360934
Classification Error;   0,043778;   0,063667;   0,048000;0,360934
True Positive Rate;   0,958889;   0,939333;   0,958000;0,360934
True Negative Rate;   0,953556;   0,933333;   0,946000;0,360934
Positive Prediction Value;   0,953802;   0,933731;   0,946640;0,360934
Negative Predictive Value;   0,958668;   0,938967;   0,957490;0,360934
False Negative Rate;   0,041111;   0,060667;   0,042000;0,360934
False Positive Rate;   0,046444;   0,066667;   0,054000;0,360934
False Discovery Rate;   0,046198;   0,066269;   0,053360;0,360934
False Omission Rate;   0,041332;   0,061033;   0,042510;0,360934
Threat Score;   0,916330;   0,880625;   0,908918;0,360934
F1 Score;   0,956339;   0,936524;   0,952286;0,360934
Bookmaker Informedness;   0,912444;   0,872667;   0,904000;0,360934
Markedness;   0,912470;   0,872698;   0,904130;0,360934
Gini Index;   0,985605;   0,971405;   0,984544;0,360934
Cost; 394,000000; 191,000000;  48,000000;0,360934
