Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,000000;3000,000000;1000,000000;0,9221235
True Negative;3488,000000;1150,000000; 369,000000;0,9221235
False Positive;1012,000000; 350,000000; 131,000000;0,9221235
False Negative; 749,000000; 264,000000;  88,000000;0,9221235
True Positive;3751,000000;1236,000000; 412,000000;0,9221235
Condition Negative;4500,000000;1500,000000; 500,000000;0,9221235
Condition Positive;4500,000000;1500,000000; 500,000000;0,9221235
Accuracy;   0,804333;   0,795333;   0,781000;0,9221235
Balanced Accuracy;   0,804333;   0,795333;   0,781000;0,9221235
Area Under ROC Curve;   0,894372;   0,885182;   0,876018;0,9221235
Bias;  -1,029222;  -1,028667;  -1,043000;0,9221235
Classification Error;   0,195667;   0,204667;   0,219000;0,9221235
True Positive Rate;   0,833556;   0,824000;   0,824000;0,9221235
True Negative Rate;   0,775111;   0,766667;   0,738000;0,9221235
Positive Prediction Value;   0,787529;   0,779319;   0,758748;0,9221235
Negative Predictive Value;   0,823224;   0,813296;   0,807440;0,9221235
False Negative Rate;   0,166444;   0,176000;   0,176000;0,9221235
False Positive Rate;   0,224889;   0,233333;   0,262000;0,9221235
False Discovery Rate;   0,212471;   0,220681;   0,241252;0,9221235
False Omission Rate;   0,176776;   0,186704;   0,192560;0,9221235
Threat Score;   0,680515;   0,668108;   0,652932;0,9221235
F1 Score;   0,809889;   0,801037;   0,790029;0,9221235
Bookmaker Informedness;   0,608667;   0,590667;   0,562000;0,9221235
Markedness;   0,610753;   0,592615;   0,566188;0,9221235
Gini Index;   0,788745;   0,770364;   0,752036;0,9221235
Cost;1761,000000; 614,000000; 219,000000;0,9221235
