Metric;Score_train;Score_validation;Score_test;Cutoff
Number of Observations;9000,0;3000,0;1000,0;0,5
True Negative;4500,0;1500,0; 500,0;0,5
False Positive;   0,0;   0,0;   0,0;0,5
False Negative;4500,0;1500,0; 500,0;0,5
True Positive;   0,0;   0,0;   0,0;0,5
Condition Negative;4500,0;1500,0; 500,0;0,5
Condition Positive;4500,0;1500,0; 500,0;0,5
Accuracy;   0,5;   0,5;   0,5;0,5
Balanced Accuracy;   0,5;   0,5;   0,5;0,5
Area Under ROC Curve;   0,5;   0,5;   0,5;0,5
Bias;  -0,5;  -0,5;  -0,5;0,5
Classification Error;   0,5;   0,5;   0,5;0,5
True Positive Rate;   0,0;   0,0;   0,0;0,5
True Negative Rate;   1,0;   1,0;   1,0;0,5
Positive Prediction Value;NA;NA;NA;0,5
Negative Predictive Value;   0,5;   0,5;   0,5;0,5
False Negative Rate;   1,0;   1,0;   1,0;0,5
False Positive Rate;   0,0;   0,0;   0,0;0,5
False Discovery Rate;NA;NA;NA;0,5
False Omission Rate;   0,5;   0,5;   0,5;0,5
Threat Score;   0,0;   0,0;   0,0;0,5
F1 Score;NA;NA;NA;0,5
Bookmaker Informedness;   0,0;   0,0;   0,0;0,5
Markedness;NA;NA;NA;0,5
Gini Index;   0,0;   0,0;   0,0;0,5
Cost;4500,0;1500,0; 500,0;0,5
